wavelength	fluorescence
nm	a.u.
605.0	0.000
605.5	0.000
606.0	0.000
606.5	0.000
607.0	0.000
607.5	0.000
608.0	0.000
608.5	0.000
609.0	0.000
609.5	0.000
610.0	0.001
610.5	0.001
611.0	0.001
611.5	0.001
612.0	0.001
612.5	0.001
613.0	0.001
613.5	0.001
614.0	0.001
614.5	0.001
615.0	0.001
615.5	0.001
616.0	0.001
616.5	0.001
617.0	0.001
617.5	0.001
618.0	0.001
618.5	0.001
619.0	0.002
619.5	0.002
620.0	0.002
620.5	0.002
621.0	0.002
621.5	0.002
622.0	0.002
622.5	0.002
623.0	0.003
623.5	0.003
624.0	0.003
624.5	0.003
625.0	0.003
625.5	0.004
626.0	0.004
626.5	0.004
627.0	0.004
627.5	0.005
628.0	0.005
628.5	0.005
629.0	0.006
629.5	0.006
630.0	0.007
630.5	0.007
631.0	0.008
631.5	0.008
632.0	0.009
632.5	0.009
633.0	0.010
633.5	0.011
634.0	0.011
634.5	0.012
635.0	0.013
635.5	0.014
636.0	0.015
636.5	0.016
637.0	0.017
637.5	0.019
638.0	0.020
638.5	0.021
639.0	0.023
639.5	0.024
640.0	0.026
640.5	0.028
641.0	0.030
641.5	0.032
642.0	0.034
642.5	0.036
643.0	0.039
643.5	0.041
644.0	0.044
644.5	0.047
645.0	0.051
645.5	0.054
646.0	0.058
646.5	0.062
647.0	0.067
647.5	0.071
648.0	0.077
648.5	0.082
649.0	0.087
649.5	0.093
650.0	0.099
650.5	0.105
651.0	0.112
651.5	0.120
652.0	0.128
652.5	0.136
653.0	0.144
653.5	0.154
654.0	0.164
654.5	0.174
655.0	0.185
655.5	0.197
656.0	0.209
656.5	0.223
657.0	0.237
657.5	0.251
658.0	0.267
658.5	0.283
659.0	0.300
659.5	0.318
660.0	0.335
660.5	0.354
661.0	0.373
661.5	0.393
662.0	0.414
662.5	0.435
663.0	0.456
663.5	0.478
664.0	0.500
664.5	0.521
665.0	0.544
665.5	0.566
666.0	0.589
666.5	0.612
667.0	0.634
667.5	0.657
668.0	0.680
668.5	0.702
669.0	0.724
669.5	0.745
670.0	0.766
670.5	0.787
671.0	0.808
671.5	0.827
672.0	0.846
672.5	0.863
673.0	0.880
673.5	0.895
674.0	0.910
674.5	0.923
675.0	0.935
675.5	0.946
676.0	0.957
676.5	0.967
677.0	0.975
677.5	0.982
678.0	0.988
678.5	0.992
679.0	0.996
679.5	0.998
680.0	1.000
680.5	1.000
681.0	0.998
681.5	0.996
682.0	0.992
682.5	0.988
683.0	0.982
683.5	0.976
684.0	0.969
684.5	0.962
685.0	0.954
685.5	0.946
686.0	0.937
686.5	0.928
687.0	0.918
687.5	0.907
688.0	0.897
688.5	0.886
689.0	0.875
689.5	0.863
690.0	0.852
690.5	0.840
691.0	0.828
691.5	0.816
692.0	0.804
692.5	0.792
693.0	0.781
693.5	0.769
694.0	0.759
694.5	0.748
695.0	0.737
695.5	0.727
696.0	0.717
696.5	0.708
697.0	0.698
697.5	0.689
698.0	0.680
698.5	0.671
699.0	0.662
699.5	0.653
700.0	0.644
700.5	0.636
701.0	0.627
701.5	0.619
702.0	0.610
702.5	0.602
703.0	0.594
703.5	0.586
704.0	0.577
704.5	0.569
705.0	0.561
705.5	0.553
706.0	0.545
706.5	0.536
707.0	0.529
707.5	0.521
708.0	0.513
708.5	0.505
709.0	0.498
709.5	0.490
710.0	0.482
710.5	0.474
711.0	0.467
711.5	0.460
712.0	0.452
712.5	0.445
713.0	0.438
713.5	0.431
714.0	0.423
714.5	0.416
715.0	0.408
715.5	0.401
716.0	0.394
716.5	0.387
717.0	0.381
717.5	0.374
718.0	0.368
718.5	0.362
719.0	0.356
719.5	0.351
720.0	0.346
720.5	0.340
721.0	0.336
721.5	0.331
722.0	0.326
722.5	0.322
723.0	0.318
723.5	0.313
724.0	0.309
724.5	0.305
725.0	0.301
725.5	0.298
726.0	0.294
726.5	0.291
