wavelength,PA-GFP (On) ab,PA-GFP (Off) ab,PA-GFP (On) em
352,0.2571,0.365,
353,0.2641,0.3692,
354,0.267,0.3847,
355,0.2726,0.4031,
356,0.2783,0.413,
357,0.2825,0.4228,
358,0.2853,0.4299,
359,0.291,0.4412,
360,0.2938,0.4525,
361,0.2994,0.4765,
362,0.3051,0.4934,
363,0.3121,0.5033,
364,0.3178,0.5216,
365,0.3235,0.5287,
366,0.3291,0.5498,
367,0.3376,0.5625,
368,0.3404,0.5823,
369,0.3475,0.6006,
370,0.3545,0.6133,
371,0.363,0.6331,
372,0.3701,0.6486,
373,0.3743,0.6613,
374,0.3785,0.6966,
375,0.3912,0.7219,
376,0.3969,0.7346,
377,0.4054,0.7473,
378,0.4096,0.7615,
379,0.4138,0.7883,
380,0.4195,0.7995,
381,0.4265,0.8151,
382,0.4294,0.8278,
383,0.4364,0.8362,
384,0.4393,0.8461,
385,0.4421,0.856,
386,0.4506,0.8729,
387,0.452,0.8814,
388,0.4548,0.8899,
389,0.4562,0.9026,
390,0.4576,0.9223,
391,0.4604,0.9364,
392,0.4661,0.9491,
393,0.4675,0.9675,
394,0.4703,0.9802,
395,0.4703,0.9872,
396,0.4703,0.9915,
397,0.4703,0.9957,
398,0.4703,0.9986,
399,0.4703,1.0,
400,0.4675,1.0,
401,0.4647,0.9986,
402,0.4619,0.9972,
403,0.459,0.993,
404,0.4562,0.9874,
405,0.4548,0.9761,
406,0.4506,0.9705,
407,0.4449,0.9648,
408,0.4393,0.9564,
409,0.4308,0.9353,
410,0.4251,0.9155,
411,0.4195,0.9029,
412,0.4153,0.8902,
413,0.4082,0.8705,
414,0.4011,0.8634,
415,0.3912,0.8451,
416,0.3856,0.8353,
417,0.3771,0.817,
418,0.3729,0.7944,
419,0.3658,0.7818,
420,0.3531,0.7691,
421,0.3446,0.748,
422,0.3376,0.7268,
423,0.3263,0.7029,
424,0.3164,0.6733,
425,0.3079,0.6536,
426,0.298,0.6296,
427,0.2896,0.6085,
428,0.2783,0.5662,
429,0.2684,0.5451,
430,0.2585,0.5056,
431,0.2486,0.4803,
432,0.2444,0.4662,
433,0.2359,0.4112,
434,0.2288,0.3788,
435,0.2175,0.3633,
436,0.2119,0.3295,
437,0.209,0.2943,
438,0.2048,0.2548,
439,0.202,0.2308,
440,0.2006,0.2041,
441,0.1991,0.1872,
442,0.1991,0.1703,
443,0.1991,0.1576,
444,0.2006,0.1421,
445,0.2034,0.1238,
446,0.2062,0.1055,
447,0.2104,0.0971,
448,0.2189,0.0928,
449,0.2232,0.0858,
450,0.2288,0.0802,
451,0.2373,0.076,
452,0.2429,0.0731,
453,0.2514,0.0689,
454,0.2599,0.0661,
455,0.267,0.0619,
456,0.2712,0.0563,
457,0.2881,0.0535,
458,0.3023,0.0507,
459,0.3164,0.0465,
460,0.3347,0.0451,
461,0.3475,0.0437,
462,0.363,0.0423,
463,0.3715,0.0409,
464,0.3898,0.0381,
465,0.4068,0.0367,
466,0.4237,0.0353,
467,0.4506,0.0353,
468,0.4675,0.0353,
469,0.483,0.0353,
470,0.4943,0.0339,
471,0.5028,0.0339,
472,0.5127,0.0326,
473,0.524,0.0326,
474,0.5311,0.0312,
475,0.5396,0.0312,
476,0.5466,0.0298,
477,0.5551,0.0298,
478,0.5607,0.0298,
479,0.5763,0.0284,
480,0.5819,0.027,
481,0.5904,0.027,0.0104
482,0.6059,0.0271,0.0119
483,0.6201,0.0271,0.0134
484,0.6328,0.0271,0.0149
485,0.6497,0.0257,0.0178
486,0.6765,0.0257,0.0194
487,0.6893,0.0243,0.0237
488,0.7189,0.0243,0.0281
489,0.7429,0.0243,0.0338
490,0.7556,0.0244,0.041
491,0.7853,0.0244,0.0524
492,0.8093,0.0244,0.0596
493,0.8347,0.0244,0.0696
494,0.8771,0.0244,0.0924
495,0.9054,0.0244,0.1151
496,0.9308,0.0244,0.1322
497,0.952,0.0245,0.1549
498,0.9661,0.0245,0.1847
499,0.9859,0.0245,0.2216
500,0.9944,0.0245,0.2642
501,0.997,0.0245,0.3053
502,1.0,0.0245,0.3676
503,0.999,0.0231,0.4371
504,0.997,0.0217,0.4895
505,0.9958,0.0232,0.5589
506,0.9774,0.0232,0.634
507,0.9604,0.0232,0.7049
508,0.9265,0.0232,0.7714
509,0.8856,0.0232,0.8239
510,0.8418,0.0232,0.8891
511,0.8065,0.0232,0.9203
512,0.7571,0.0233,0.9529
513,0.6935,0.0233,0.9728
514,0.637,0.0219,0.9913
515,0.541,0.0219,0.9985
516,0.4746,0.0219,1.0
517,0.4209,0.0219,0.9972
518,0.3658,0.0219,0.9917
519,0.3164,0.0219,0.9819
520,0.2726,0.022,0.9608
521,0.2331,0.022,0.9368
522,0.1977,0.022,0.9086
523,0.1808,0.022,0.8734
524,0.1398,0.022,0.8551
525,0.1144,0.022,0.8085
526,0.1045,0.022,0.7789
527,0.0847,0.0206,0.7493
528,0.0734,0.0192,0.7084
529,0.065,0.0179,0.6774
530,0.0622,0.0179,0.6492
531,0.0508,0.0179,0.6139
532,0.048,0.0165,0.5829
533,0.0424,0.0151,0.5576
534,0.0381,0.0165,0.5351
535,0.0353,0.0179,0.5097
536,0.0325,0.018,0.4872
537,0.0311,0.018,0.4632
538,0.0297,0.018,0.4449
539,0.0268,0.018,0.4281
540,0.0254,0.0166,0.4154
541,0.024,0.0166,0.4
542,0.0226,0.0166,0.3859
543,0.0226,0.0166,0.3677
544,0.0198,0.0167,0.3565
545,0.0184,0.0167,0.3481
546,0.0169,0.0167,0.3411
547,0.0169,0.0167,0.3299
548,0.0169,0.0181,0.3173
549,0.0155,0.0181,0.3131
550,0.0155,0.0181,0.3062
551,,,0.2964
552,,,0.2908
553,,,0.2796
554,,,0.2741
555,,,0.2671
556,,,0.2559
557,,,0.2489
558,,,0.2448
559,,,0.2364
560,,,0.2266
561,,,0.2154
562,,,0.207
563,,,0.1986
564,,,0.1917
565,,,0.1861
566,,,0.1777
567,,,0.1651
568,,,0.1596
569,,,0.1554
570,,,0.1484
571,,,0.1415
572,,,0.1345
573,,,0.1275
574,,,0.1234
575,,,0.1178
576,,,0.1151
577,,,0.111
578,,,0.1054
579,,,0.1013
580,,,0.0943
581,,,0.0888
582,,,0.0832
583,,,0.0806
584,,,0.0792
585,,,0.0751
586,,,0.071
587,,,0.0683
588,,,0.0669
589,,,0.0656
590,,,0.0657
591,,,0.063
592,,,0.0603
593,,,0.0576
594,,,0.0562
595,,,0.0522
596,,,0.0522
597,,,0.0495
598,,,0.0482
599,,,0.0483
600,,,0.047
