Var1,Var2
270,0.00029513
271,0.00029864
272,0.00030391
273,0.00030919
274,0.00031621
275,0.000325
276,0.00033729
277,0.00035135
278,0.0003654
279,0.00038121
280,0.00040756
281,0.00043743
282,0.0004708
283,0.00050418
284,0.00054459
285,0.00058851
286,0.00063594
287,0.00068688
288,0.00072026
289,0.00075364
290,0.00078526
291,0.00082039
292,0.00085202
293,0.00088364
294,0.00091702
295,0.00095039
296,0.00113
297,0.00161
298,0.00273
299,0.00366
300,0.00453
301,0.00487
302,0.00852
303,0.01038
304,0.01375
305,0.01855
306,0.02392
307,0.01214
308,0.01455
309,0.02215
310,0.02764
311,0.04428
312,0.01458
313,0.00894
314,0.00269
315,0.01403
316,0.01764
317,0.00122
318,0.00069567
319,0.0006904
320,0.00055691
321,0.00065974
322,0.00074921
323,0.00078137
324,0.00085175
325,0.00114
326,0.00139
327,0.00136
328,0.00134
329,0.00134
330,0.00136
331,0.00193
332,0.00237
333,0.00221
334,0.00202
335,0.00164
336,0.00124
337,0.00062128
338,4.818e-05
339,2.4939e-05
340,1.3029e-05
341,1.0464e-05
342,7.1061e-06
343,2.3604e-06
344,9.0207e-07
345,7.4473e-07
346,5.581e-07
347,2.0385e-07
348,8.8486e-08
349,2.4794e-07
350,6.7316e-07
351,4.9317e-07
352,3.7448e-07
353,3.322e-07
354,2.6032e-07
355,9.9962e-08
356,5.3454e-08
357,3.5425e-07
358,2.1291e-06
359,4.1295e-06
360,8.1205e-06
361,2.7982e-05
362,0.00011945
363,0.0003491
364,0.00063964
365,0.00127
366,0.00179
367,0.00156
368,0.00139
369,0.00179
370,0.0022
371,0.0028
372,0.00309
373,0.00199
374,0.00123
375,0.00237
376,0.00332
377,0.00276
378,0.00219
379,0.0015
380,0.00082483
381,0.00060415
382,0.00051014
383,0.001
384,0.0014
385,0.00129
386,0.00119
387,0.00129
388,0.00136
389,0.00119
390,0.00108
391,0.00262
392,0.00155
393,0.00096156
394,0.00094857
395,0.0022
396,0.00337
397,0.00403
398,0.00363
399,0.00278
400,0.00152
401,0.0008152
402,0.00085948
403,0.00042011
404,0.00010174
405,5.5036e-05
406,5.8195e-05
407,0.00013513
408,0.0005603
409,0.00088035
410,0.00111
411,0.00149
412,0.00197
413,0.00179
414,0.00161
415,0.00145
416,0.00095761
417,0.00045118
418,0.00047508
419,0.00076173
420,0.00127
421,0.00059651
422,0.00025391
423,0.00018435
424,0.0002568
425,0.00047584
426,0.00044409
427,0.00057573
428,0.00081943
429,0.00268
430,0.00507
431,0.00325
432,0.00241
433,0.00416
434,0.00226
435,0.00101
436,0.00111
437,0.00122
438,0.00132
439,0.00142
440,0.00152
441,0.00163
442,0.00173
443,0.00183
444,0.00193
445,0.00203
446,0.00212
447,0.00281
448,0.00447
449,0.00304
450,0.00184
451,0.00154
452,0.00209
453,0.0035
454,0.00385
455,0.00274
456,0.00244
457,0.00302
458,0.00333
459,0.00221
460,0.00161
461,0.00162
462,0.00239
463,0.00281
464,0.00131
465,0.00052315
466,0.00028578
467,0.00021541
468,0.00022384
469,0.00029777
470,0.000466
471,0.00079798
472,0.00122
