wavelength,mEos3.2 (Green) ex,mEos3.2 (Green) em,mEos3.2 (Red) ex,mEos3.2 (Red) em
349,0.0004,,,
350,0.0004,,0.1859,
351,0.0004,,0.1878,
352,0.0004,,0.1892,
353,0.0004,,0.1901,
354,0.0004,,0.1906,
355,0.0004,,0.1906,
356,0.0004,,0.1901,
357,0.0004,,0.1891,
358,0.0004,,0.1879,
359,0.0004,,0.1863,
360,0.0004,,0.1841,
361,0.0004,,0.1812,
362,0.0004,,0.1775,
363,0.0004,,0.1729,
364,0.0004,,0.1674,
365,0.0004,,0.161,
366,0.0004,,0.1536,
367,0.0004,,0.1452,
368,0.0004,,0.136,
369,0.0004,,0.1261,
370,0.0003,,0.116,
371,0.0003,,0.106,
372,0.0004,,0.0965,
373,0.0006,,0.0876,
374,0.0008,,0.0795,
375,0.001,,0.0723,
376,0.0012,,0.0659,
377,0.0015,,0.0605,
378,0.0017,,0.0559,
379,0.0019,,0.0521,
380,0.002,,0.0488,
381,0.002,,0.0459,
382,0.002,,0.0432,
383,0.002,,0.041,
384,0.0021,,0.0391,
385,0.0023,,0.0373,
386,0.0026,,0.0356,
387,0.0029,,0.034,
388,0.0032,,0.0325,
389,0.0035,,0.0313,
390,0.0037,,0.0301,
391,0.004,,0.0292,
392,0.004,,0.0285,
393,0.0041,,0.0282,
394,0.0041,,0.028,
395,0.0039,,0.0278,
396,0.004,,0.0276,
397,0.0043,,0.0275,
398,0.0046,,0.0274,
399,0.005,,0.0271,
400,0.0053,,0.0267,
401,0.0056,,0.0263,
402,0.006,,0.0259,
403,0.0066,,0.0255,
404,0.0071,,0.0253,
405,0.0075,,0.0251,
406,0.0078,,0.0251,
407,0.0083,,0.025,
408,0.0089,,0.025,
409,0.0091,,0.025,
410,0.0098,,0.0251,
411,0.0107,,0.0252,
412,0.0116,,0.0253,
413,0.0125,,0.0251,
414,0.0133,,0.0246,
415,0.0142,,0.0241,
416,0.0151,,0.0236,
417,0.0162,,0.0233,
418,0.0171,,0.0231,
419,0.0181,,0.023,
420,0.019,,0.0231,
421,0.02,,0.0232,
422,0.021,,0.0235,
423,0.0218,,0.024,
424,0.0231,,0.0247,
425,0.0244,,0.0256,
426,0.0261,,0.0265,
427,0.0278,,0.0273,
428,0.0299,,0.0281,
429,0.0321,,0.0289,
430,0.0345,,0.0299,
431,0.037,,0.031,
432,0.0396,,0.032,
433,0.0425,,0.0329,
434,0.0455,,0.0337,
435,0.0484,,0.0345,
436,0.0515,,0.0354,
437,0.0546,,0.0363,
438,0.058,,0.0371,
439,0.0617,,0.0379,
440,0.066,,0.0387,
441,0.0702,,0.0396,
442,0.0747,,0.0405,
443,0.0793,,0.0413,
444,0.0843,,0.0423,
445,0.0895,,0.0434,
446,0.095,,0.0446,
447,0.1011,,0.0459,
448,0.1072,,0.0472,
449,0.1136,,0.0486,
450,0.1206,0.0009,0.0502,
451,0.1278,0.0005,0.052,
452,0.1354,0.0002,0.0538,
453,0.1432,0.0,0.0556,
454,0.1513,0.0,0.0574,
455,0.1594,0.0,0.0594,
456,0.1676,0.0,0.0615,
457,0.1768,0.0,0.0637,
458,0.1864,0.0,0.0659,
459,0.196,0.0,0.0682,
460,0.2063,0.0,0.0704,
461,0.2174,0.0003,0.0727,
462,0.2293,0.0004,0.075,
463,0.2425,0.0004,0.0773,
464,0.2565,0.0006,0.0799,
465,0.2714,0.0005,0.0827,
466,0.2873,0.0004,0.0856,
467,0.3039,0.0004,0.0885,
468,0.3205,0.0004,0.0915,
469,0.3376,0.0004,0.0944,
470,0.3545,0.0004,0.0972,
471,0.3716,0.0004,0.0998,
472,0.3878,0.0004,0.1024,
473,0.403,0.0004,0.1051,
474,0.4171,0.0004,0.108,
475,0.43,0.0002,0.1112,
476,0.4418,0.0002,0.1147,
477,0.4522,0.0003,0.1184,
478,0.4611,0.0004,0.1226,
479,0.4698,0.0007,0.1273,
480,0.4781,0.0011,0.1325,
481,0.4858,0.0018,0.1379,
482,0.4931,0.0026,0.1433,
483,0.501,0.0034,0.1485,
484,0.5093,0.0044,0.1537,
485,0.5191,0.0056,0.1589,
486,0.5301,0.007,0.1642,
487,0.5427,0.009,0.1696,
488,0.5564,0.0111,0.1751,
489,0.5725,0.0138,0.1807,
490,0.59,0.0175,0.1865,
491,0.6096,0.0222,0.1925,
492,0.6314,0.0279,0.1987,
493,0.656,0.0351,0.2052,
494,0.6832,0.0439,0.2118,
495,0.7123,0.0564,0.2184,
496,0.7434,0.0714,0.2251,
497,0.7761,0.0904,0.2319,
498,0.8099,0.113,0.2389,
499,0.8444,0.1395,0.2464,
500,0.8779,0.1707,0.2541,0.0003
501,0.9099,0.2073,0.262,0.0003
