Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,5.193525,0
351,4.890707,0
352,4.777883,0
353,4.548327,0
354,4.094589,0
355,3.752209,0
356,3.36636,0
357,3.205671,0
358,2.761212,0
359,2.67867,0
360,2.321638,0
361,2.507724,0
362,2.238607,0
363,2.009051,0
364,2.199534,0
365,2.053009,0
366,1.862526,0
367,1.872783,0
368,1.882063,0
369,1.736027,0
370,1.637855,0
371,1.408788,0
372,1.129902,0
373,0.9496765,0
374,0.5540593,0
375,0.4216986,0
376,0.3337835,0
377,0.3044786,0
378,0.2507529,0
379,0.3337835,0
380,0.00654,0
381,0.0993,0
382,0.1872588,0
383,0.4417236,0
384,0.1237647,0
385,0.1779788,0
386,0.2165637,0
387,0.2507529,0
388,0.3782296,0
389,0.2023996,0
390,0.3245037,0
391,0.2458686,0
392,0.2854303,0
393,0.2561255,0
394,0.3093629,0
395,0.2165637,0
396,0.4216986,0
397,0.329388,0
398,0.3923935,0
399,0.4216986,0
400,0.4803084,0
401,0.4173029,0
402,0.6175534,0
403,0.5486868,0
404,0.6707909,0
405,0.6517426,0
406,0.7347732,0
407,0.7152368,0
408,0.7831265,0
409,0.7000958,0
410,0.8666458,0
411,0.6366017,0
412,0.7445416,0
413,0.6810476,0
414,0.7831265,0
415,0.6366017,0
416,0.8075473,0
417,0.7000958,0
418,0.7831265,0
419,0.7782422,0
420,0.9296514,0
421,0.6810476,0
422,0.9154873,0
423,0.8617616,0
424,0.9296514,0
425,1.237354,0
426,1.193396,0
427,1.232958,0
428,1.330641,0
429,1.569965,0
430,1.530892,0
431,1.628087,0
432,1.721374,0
433,1.940673,0
434,2.150692,0
435,2.375852,0
436,2.433974,0
437,2.800286,0
438,2.990279,0
439,3.175878,0
440,3.439622,0
441,3.913875,0
442,3.879197,0
443,4.182504,0
444,4.32854,0
445,4.714389,0
446,4.866286,0
447,5.193525,0
448,5.500739,0
449,6.008692,0
450,6.351072,0
451,6.717384,0
452,7.21508,0
453,7.561855,0
454,7.99215,0
455,8.636371,0
456,9.02222,0
457,9.589272,0
458,10.01908,0
459,10.74193,0
460,11.08334,0
461,11.772,0
462,12.23649,0
463,12.92027,0
464,13.6231,0
465,14.2683,0
466,14.71227,0
467,15.66028,0
468,16.28057,0
469,17.03225,0
470,17.71603,0
471,18.57125,0
472,19.33757,0
473,20.12392,0
474,20.77889,0
475,21.67709,0
476,22.42436,0
477,23.29423,0
478,24.10451,0
479,25.1888,0
480,26.11728,0
481,27.09899,0
482,28.0514,0
483,29.26268,0
484,30.06368,0
485,31.19632,0
486,32.18341,0
487,33.27697,0
488,34.36174,0
489,35.48461,0
490,36.58355,0
491,37.90716,0
492,38.89376,0
493,40.25155,0
494,41.48725,0
495,42.79669,0
496,43.87609,0
497,45.35062,0
498,46.59657,0
499,47.89576,0
500,49.22425,0
501,50.61086,0
502,51.77867,0
503,53.20435,0
504,54.36727,0
505,55.76903,0
506,57.11657,0
