Var1,Var2
290,1.5514e-07
291,1.4286e-07
292,1.3156e-07
293,2.3786e-07
294,8.2018e-07
295,2.8281e-06
296,4.1067e-06
297,1.8248e-06
298,8.1086e-07
299,3.603e-07
300,1.601e-07
301,2.0896e-07
302,4.3469e-07
303,9.0427e-07
304,1.8811e-06
305,3.8762e-06
306,4.8872e-06
307,6.0664e-06
308,5.3614e-06
309,4.7383e-06
310,4.1876e-06
311,3.7009e-06
312,3.3471e-06
313,3.1436e-06
314,2.9525e-06
315,2.773e-06
316,2.6044e-06
317,2.2382e-06
318,1.8571e-06
319,1.541e-06
320,1.2787e-06
321,1.0759e-06
322,1.1406e-06
323,1.2092e-06
324,1.282e-06
325,1.3591e-06
326,1.3696e-06
327,1.2787e-06
328,1.1939e-06
329,1.1146e-06
330,1.0407e-06
331,1.0442e-06
332,1.0741e-06
333,1.1048e-06
334,1.1363e-06
335,1.1794e-06
336,1.4761e-06
337,1.8201e-06
338,1.7925e-06
339,1.7654e-06
340,1.7387e-06
341,1.7124e-06
342,1.6487e-06
343,1.5353e-06
344,1.4297e-06
345,1.3314e-06
346,1.2398e-06
347,1.1866e-06
348,1.146e-06
349,1.1068e-06
350,1.0689e-06
351,1.0534e-06
352,1.2532e-06
353,1.491e-06
354,1.7738e-06
355,2.1102e-06
356,2.3357e-06
357,2.3643e-06
358,2.3934e-06
359,2.4227e-06
360,2.4525e-06
361,1.8098e-06
362,1.2334e-06
363,8.4058e-07
364,5.7288e-07
365,3.753e-07
366,1.5311e-07
367,6.2462e-08
368,2.5482e-08
369,3.4265e-08
370,8.1186e-08
371,1.9236e-07
372,4.5577e-07
373,1.0534e-06
374,8.8897e-07
375,7.5018e-07
376,6.3305e-07
377,5.3421e-07
378,4.5104e-07
379,3.8115e-07
380,3.2208e-07
381,2.7217e-07
382,2.3e-07
383,2.6048e-07
384,3.3023e-07
385,4.1864e-07
386,5.3073e-07
387,6.4437e-07
388,4.5906e-07
389,3.2704e-07
390,2.3299e-07
391,1.6599e-07
392,1.3493e-08
393,1.3791e-08
394,2.2077e-08
395,3.5342e-08
396,5.6576e-08
397,8.4887e-08
398,1.1676e-07
399,1.6061e-07
400,2.2091e-07
401,2.0427e-07
402,1.6098e-07
403,1.2686e-07
404,1e-07
405,1e-07
406,1e-07
407,1e-07
408,1e-07
409,1e-07
410,1e-07
411,1e-07
412,8.3385e-08
413,6.1057e-08
414,4.4708e-08
415,3.2736e-08
416,4.1437e-08
417,5.6595e-08
418,7.7298e-08
419,9.9682e-08
420,9.7873e-08
421,9.6098e-08
422,9.4354e-08
423,9.4258e-08
424,9.6001e-08
425,9.7776e-08
426,9.9583e-08
427,4.8204e-07
428,7.1407e-07
429,1.0578e-06
430,1.5669e-06
431,1.7316e-06
432,1.8224e-06
433,1.9178e-06
434,2.0236e-06
435,2.1679e-06
436,2.3224e-06
437,2.488e-06
438,2.7091e-06
439,3.0115e-06
440,3.3477e-06
441,3.7215e-06
442,3.944e-06
443,4.1084e-06
444,4.2796e-06
445,4.4538e-06
446,4.4993e-06
447,4.5452e-06
448,4.5916e-06
449,4.6419e-06
450,4.6996e-06
451,4.7581e-06
452,4.8173e-06
453,4.8447e-06
454,4.8532e-06
455,4.8618e-06
456,4.8704e-06
457,4.9152e-06
458,4.963e-06
459,5.0112e-06
460,5.0455e-06
461,5.0339e-06
462,5.0223e-06
463,5.0107e-06
464,4.9156e-06
465,4.755e-06
466,4.5996e-06
467,4.4494e-06
468,2.7891e-07
469,2.7358e-07
470,2.6834e-07
471,2.5788e-07
472,2.4187e-07
473,2.2686e-07
474,2.1278e-07
475,2.0986e-07
476,2.1031e-07
477,2.1077e-07
478,2.1309e-07
479,2.4597e-07
480,2.8393e-07
481,3.2774e-07
482,3.4003e-07
483,2.9372e-07
484,2.5371e-07
485,2.1915e-07
486,2.0739e-07
487,2.0502e-07
488,2.0268e-07
489,2.0037e-07
490,1.8764e-07
491,1.7558e-07
492,1.643e-07
493,1.5917e-07
494,1.6733e-07
495,1.7592e-07
496,1.8495e-07
497,1.7581e-07
498,1.5679e-07
499,1.3982e-07
500,1.2469e-07
501,4.574e-08
502,3.2468e-08
503,2.3047e-08
504,1.6359e-08
505,1.4449e-08
506,1.5261e-08
507,1.6118e-08
508,1.7023e-08
509,1.5905e-08
510,1.4554e-08
511,1.3318e-08
512,1.2817e-08
513,1.5983e-08
514,1.9931e-08
515,2.4855e-08
516,2.7105e-08
517,2.5457e-08
518,2.3909e-08
519,2.2455e-08
520,2.4577e-08
521,2.8057e-08
522,3.203e-08
523,3.7086e-08
524,4.89e-08
525,6.4477e-08
526,8.5016e-08
527,8.3932e-08
528,5.492e-08
529,3.5936e-08
530,2.3514e-08
531,2.0053e-08
532,1.8851e-08
533,1.7722e-08
534,1.7798e-08
535,6.1086e-08
536,2.0966e-07
537,7.1959e-07
538,1.0061e-06
539,3.1084e-07
540,9.604e-08
541,2.9673e-08
542,2.8908e-08
543,4.6507e-08
544,6.9507e-08
545,7.2195e-08
546,7.4987e-08
547,7.7887e-08
548,8.1362e-08
549,8.5256e-08
550,8.9336e-08
551,9.3612e-08
552,9.4981e-08
553,9.6224e-08
554,9.7483e-08
555,9.9751e-08
556,1.0494e-07
557,1.104e-07
558,1.1615e-07
559,1.2268e-07
560,1.2997e-07
561,1.3769e-07
562,1.4587e-07
563,1.5362e-07
564,1.6167e-07
565,1.7015e-07
566,1.7808e-07
567,1.8248e-07
568,1.87e-07
569,1.9162e-07
570,2.0038e-07
571,2.1342e-07
572,2.2731e-07
573,2.4211e-07
574,2.5601e-07
575,2.7035e-07
576,2.855e-07
577,3.0026e-07
578,3.0934e-07
579,3.187e-07
580,3.2834e-07
581,3.3832e-07
582,3.4865e-07
583,3.593e-07
584,3.7028e-07
585,2.0013e-07
586,9.3523e-08
587,7.1545e-08
588,7.4613e-08
589,7.7813e-08
590,8.1085e-08
591,8.3926e-08
592,8.6866e-08
593,8.991e-08
594,9.306e-08
595,9.6442e-08
596,1.0044e-07
