wavelength	absorption
nm	
250.0	0.068
250.5	0.067
251.0	0.066
251.5	0.065
252.0	0.064
252.5	0.063
253.0	0.062
253.5	0.061
254.0	0.060
254.5	0.059
255.0	0.058
255.5	0.057
256.0	0.056
256.5	0.054
257.0	0.053
257.5	0.052
258.0	0.051
258.5	0.049
259.0	0.047
259.5	0.045
260.0	0.044
260.5	0.043
261.0	0.042
261.5	0.040
262.0	0.039
262.5	0.038
263.0	0.037
263.5	0.036
264.0	0.035
264.5	0.035
265.0	0.034
265.5	0.034
266.0	0.034
266.5	0.034
267.0	0.033
267.5	0.033
268.0	0.034
268.5	0.034
269.0	0.034
269.5	0.034
270.0	0.035
270.5	0.035
271.0	0.036
271.5	0.037
272.0	0.037
272.5	0.038
273.0	0.039
273.5	0.040
274.0	0.040
274.5	0.041
275.0	0.042
275.5	0.043
276.0	0.044
276.5	0.045
277.0	0.046
277.5	0.047
278.0	0.048
278.5	0.049
279.0	0.049
279.5	0.050
280.0	0.051
280.5	0.052
281.0	0.053
281.5	0.055
282.0	0.056
282.5	0.057
283.0	0.058
283.5	0.060
284.0	0.061
284.5	0.063
285.0	0.065
285.5	0.067
286.0	0.069
286.5	0.071
287.0	0.073
287.5	0.075
288.0	0.077
288.5	0.079
289.0	0.081
289.5	0.083
290.0	0.085
290.5	0.087
291.0	0.090
291.5	0.092
292.0	0.094
292.5	0.096
293.0	0.098
293.5	0.099
294.0	0.101
294.5	0.103
295.0	0.105
295.5	0.107
296.0	0.109
296.5	0.111
297.0	0.113
297.5	0.115
298.0	0.116
298.5	0.118
299.0	0.119
299.5	0.120
300.0	0.122
300.5	0.123
301.0	0.125
301.5	0.126
302.0	0.128
302.5	0.129
303.0	0.130
303.5	0.131
304.0	0.132
304.5	0.133
305.0	0.134
305.5	0.135
306.0	0.136
306.5	0.136
307.0	0.137
307.5	0.137
308.0	0.138
308.5	0.138
309.0	0.138
309.5	0.138
310.0	0.138
310.5	0.137
311.0	0.137
311.5	0.137
312.0	0.137
312.5	0.136
313.0	0.135
313.5	0.135
314.0	0.134
314.5	0.133
315.0	0.131
315.5	0.130
316.0	0.128
316.5	0.127
317.0	0.124
317.5	0.122
318.0	0.120
318.5	0.117
319.0	0.115
319.5	0.112
320.0	0.108
320.5	0.105
321.0	0.102
321.5	0.098
322.0	0.095
322.5	0.091
323.0	0.087
323.5	0.083
324.0	0.079
324.5	0.076
325.0	0.072
325.5	0.068
326.0	0.065
326.5	0.061
327.0	0.058
327.5	0.055
328.0	0.052
328.5	0.050
329.0	0.047
329.5	0.045
330.0	0.043
330.5	0.041
331.0	0.039
331.5	0.037
332.0	0.035
332.5	0.034
333.0	0.032
333.5	0.031
334.0	0.030
334.5	0.029
335.0	0.028
335.5	0.027
336.0	0.026
336.5	0.025
337.0	0.024
337.5	0.023
338.0	0.023
338.5	0.022
339.0	0.021
339.5	0.021
340.0	0.020
340.5	0.020
341.0	0.020
341.5	0.019
342.0	0.019
342.5	0.018
343.0	0.018
343.5	0.018
344.0	0.017
344.5	0.017
345.0	0.017
345.5	0.017
346.0	0.017
346.5	0.016
347.0	0.016
347.5	0.016
348.0	0.016
348.5	0.016
349.0	0.016
349.5	0.016
350.0	0.016
350.5	0.016
351.0	0.016
351.5	0.016
352.0	0.016
352.5	0.016
353.0	0.017
353.5	0.017
354.0	0.017
354.5	0.018
355.0	0.018
355.5	0.018
356.0	0.018
356.5	0.019
357.0	0.019
357.5	0.019
358.0	0.019
358.5	0.020
359.0	0.020
359.5	0.020
360.0	0.021
360.5	0.021
361.0	0.021
361.5	0.021
362.0	0.022
362.5	0.022
363.0	0.022
363.5	0.023
364.0	0.023
364.5	0.023
365.0	0.024
365.5	0.024
366.0	0.024
366.5	0.025
367.0	0.025
367.5	0.025
368.0	0.026
368.5	0.026
369.0	0.027
369.5	0.027
370.0	0.027
370.5	0.027
371.0	0.028
371.5	0.028
372.0	0.028
372.5	0.028
373.0	0.028
373.5	0.028
374.0	0.029
374.5	0.029
375.0	0.030
375.5	0.030
376.0	0.030
376.5	0.031
377.0	0.032
377.5	0.033
378.0	0.033
378.5	0.034
379.0	0.034
379.5	0.035
380.0	0.036
380.5	0.036
381.0	0.037
381.5	0.038
382.0	0.039
382.5	0.040
383.0	0.041
383.5	0.041
384.0	0.042
384.5	0.042
385.0	0.042
385.5	0.043
386.0	0.044
386.5	0.044
387.0	0.044
387.5	0.044
388.0	0.044
388.5	0.044
389.0	0.044
389.5	0.045
390.0	0.044
390.5	0.044
391.0	0.044
391.5	0.044
392.0	0.044
392.5	0.043
393.0	0.043
393.5	0.043
394.0	0.043
394.5	0.043
395.0	0.043
395.5	0.042
396.0	0.042
396.5	0.042
397.0	0.042
397.5	0.043
398.0	0.043
398.5	0.043
399.0	0.043
399.5	0.044
400.0	0.044
400.5	0.045
401.0	0.046
401.5	0.046
402.0	0.047
402.5	0.047
403.0	0.048
403.5	0.049
404.0	0.050
404.5	0.051
405.0	0.052
405.5	0.052
406.0	0.053
406.5	0.054
407.0	0.055
407.5	0.056
408.0	0.057
408.5	0.058
409.0	0.058
409.5	0.059
410.0	0.059
410.5	0.059
411.0	0.059
411.5	0.059
412.0	0.058
412.5	0.058
413.0	0.057
413.5	0.056
414.0	0.055
414.5	0.054
415.0	0.053
415.5	0.051
416.0	0.049
416.5	0.048
417.0	0.046
417.5	0.044
418.0	0.042
418.5	0.040
419.0	0.039
419.5	0.037
420.0	0.035
420.5	0.033
421.0	0.031
421.5	0.029
422.0	0.027
422.5	0.025
423.0	0.024
423.5	0.022
424.0	0.021
424.5	0.019
425.0	0.018
425.5	0.016
426.0	0.015
426.5	0.014
427.0	0.013
427.5	0.012
428.0	0.011
428.5	0.010
429.0	0.009
429.5	0.008
430.0	0.008
430.5	0.007
431.0	0.006
431.5	0.006
432.0	0.005
432.5	0.005
433.0	0.004
433.5	0.004
434.0	0.004
434.5	0.003
435.0	0.003
435.5	0.003
436.0	0.003
436.5	0.003
437.0	0.003
437.5	0.002
438.0	0.002
438.5	0.002
439.0	0.002
439.5	0.002
440.0	0.002
440.5	0.002
441.0	0.002
441.5	0.002
442.0	0.002
442.5	0.002
443.0	0.002
443.5	0.002
444.0	0.001
444.5	0.001
445.0	0.001
445.5	0.001
446.0	0.001
446.5	0.001
447.0	0.001
447.5	0.001
448.0	0.001
448.5	0.001
449.0	0.002
449.5	0.002
450.0	0.002
450.5	0.002
451.0	0.002
451.5	0.002
452.0	0.002
452.5	0.002
453.0	0.002
453.5	0.002
454.0	0.002
454.5	0.002
455.0	0.002
455.5	0.002
456.0	0.002
456.5	0.002
457.0	0.002
457.5	0.002
458.0	0.002
458.5	0.002
459.0	0.002
459.5	0.002
460.0	0.002
460.5	0.003
461.0	0.003
461.5	0.003
462.0	0.003
462.5	0.003
463.0	0.003
463.5	0.003
464.0	0.003
464.5	0.003
465.0	0.003
465.5	0.003
466.0	0.003
466.5	0.003
467.0	0.003
467.5	0.003
468.0	0.003
468.5	0.003
469.0	0.004
469.5	0.004
470.0	0.004
470.5	0.004
471.0	0.004
471.5	0.004
472.0	0.004
472.5	0.004
473.0	0.004
473.5	0.004
474.0	0.004
474.5	0.004
475.0	0.004
475.5	0.004
476.0	0.005
476.5	0.005
477.0	0.005
477.5	0.005
478.0	0.005
478.5	0.005
479.0	0.005
479.5	0.005
480.0	0.005
480.5	0.005
481.0	0.005
481.5	0.005
482.0	0.006
482.5	0.006
483.0	0.006
483.5	0.006
484.0	0.006
484.5	0.006
485.0	0.006
485.5	0.007
486.0	0.007
486.5	0.007
487.0	0.007
487.5	0.007
488.0	0.008
488.5	0.008
489.0	0.008
489.5	0.008
490.0	0.008
490.5	0.009
491.0	0.009
491.5	0.009
492.0	0.009
492.5	0.010
493.0	0.010
493.5	0.010
494.0	0.010
494.5	0.010
495.0	0.011
495.5	0.011
496.0	0.011
496.5	0.011
497.0	0.012
497.5	0.012
498.0	0.012
498.5	0.012
499.0	0.012
499.5	0.013
500.0	0.013
500.5	0.013
501.0	0.013
501.5	0.014
502.0	0.014
502.5	0.014
503.0	0.014
503.5	0.015
504.0	0.015
504.5	0.015
505.0	0.016
505.5	0.016
506.0	0.016
506.5	0.017
507.0	0.017
507.5	0.017
508.0	0.018
508.5	0.018
509.0	0.019
509.5	0.019
510.0	0.019
510.5	0.020
511.0	0.020
511.5	0.020
512.0	0.021
512.5	0.021
513.0	0.022
513.5	0.022
514.0	0.023
514.5	0.023
515.0	0.024
515.5	0.024
516.0	0.025
516.5	0.025
517.0	0.026
517.5	0.026
518.0	0.027
518.5	0.028
519.0	0.028
519.5	0.029
520.0	0.029
520.5	0.030
521.0	0.031
521.5	0.031
522.0	0.032
522.5	0.033
523.0	0.034
523.5	0.034
524.0	0.035
524.5	0.036
525.0	0.037
525.5	0.038
526.0	0.039
526.5	0.039
527.0	0.040
527.5	0.041
528.0	0.042
528.5	0.043
529.0	0.044
529.5	0.044
530.0	0.045
530.5	0.046
531.0	0.047
531.5	0.048
532.0	0.048
532.5	0.049
533.0	0.050
533.5	0.051
534.0	0.052
534.5	0.053
535.0	0.054
535.5	0.055
536.0	0.056
536.5	0.056
537.0	0.057
537.5	0.058
538.0	0.059
538.5	0.060
539.0	0.061
539.5	0.062
540.0	0.063
540.5	0.064
541.0	0.065
541.5	0.066
542.0	0.067
542.5	0.068
543.0	0.069
543.5	0.070
544.0	0.071
544.5	0.072
545.0	0.073
545.5	0.074
546.0	0.075
546.5	0.077
547.0	0.078
547.5	0.079
548.0	0.081
548.5	0.082
549.0	0.083
549.5	0.085
550.0	0.086
550.5	0.088
551.0	0.090
551.5	0.091
552.0	0.093
552.5	0.095
553.0	0.097
553.5	0.099
554.0	0.101
554.5	0.104
555.0	0.106
555.5	0.108
556.0	0.111
556.5	0.113
557.0	0.116
557.5	0.118
558.0	0.121
558.5	0.124
559.0	0.127
559.5	0.130
560.0	0.133
560.5	0.136
561.0	0.139
561.5	0.143
562.0	0.146
562.5	0.150
563.0	0.153
563.5	0.157
564.0	0.161
564.5	0.165
565.0	0.169
565.5	0.173
566.0	0.177
566.5	0.181
567.0	0.185
567.5	0.189
568.0	0.193
568.5	0.197
569.0	0.201
569.5	0.205
570.0	0.210
570.5	0.214
571.0	0.218
571.5	0.222
572.0	0.226
572.5	0.230
573.0	0.233
573.5	0.237
574.0	0.241
574.5	0.244
575.0	0.248
575.5	0.251
576.0	0.254
576.5	0.257
577.0	0.260
577.5	0.262
578.0	0.265
578.5	0.267
579.0	0.270
579.5	0.272
580.0	0.274
580.5	0.275
581.0	0.277
581.5	0.278
582.0	0.280
582.5	0.281
583.0	0.282
583.5	0.283
584.0	0.284
584.5	0.284
585.0	0.285
585.5	0.285
586.0	0.286
586.5	0.286
587.0	0.286
587.5	0.287
588.0	0.287
588.5	0.287
589.0	0.287
589.5	0.288
590.0	0.288
590.5	0.288
591.0	0.289
591.5	0.289
592.0	0.290
592.5	0.291
593.0	0.292
593.5	0.293
594.0	0.294
594.5	0.296
595.0	0.297
595.5	0.299
596.0	0.301
596.5	0.304
597.0	0.306
597.5	0.309
598.0	0.313
598.5	0.316
599.0	0.320
599.5	0.324
600.0	0.329
600.5	0.334
601.0	0.339
601.5	0.344
602.0	0.350
602.5	0.356
603.0	0.363
603.5	0.370
604.0	0.377
604.5	0.385
605.0	0.393
605.5	0.402
606.0	0.411
606.5	0.420
607.0	0.430
607.5	0.440
608.0	0.450
608.5	0.461
609.0	0.472
609.5	0.484
610.0	0.496
610.5	0.509
611.0	0.522
611.5	0.535
612.0	0.549
612.5	0.563
613.0	0.577
613.5	0.592
614.0	0.607
614.5	0.622
615.0	0.637
615.5	0.653
616.0	0.669
616.5	0.685
617.0	0.701
617.5	0.717
618.0	0.733
618.5	0.749
619.0	0.766
619.5	0.782
620.0	0.798
620.5	0.814
621.0	0.830
621.5	0.845
622.0	0.860
622.5	0.875
623.0	0.889
623.5	0.903
624.0	0.916
624.5	0.928
625.0	0.940
625.5	0.950
626.0	0.960
626.5	0.969
627.0	0.977
627.5	0.984
628.0	0.989
628.5	0.994
629.0	0.997
629.5	0.999
630.0	1.000
630.5	0.999
631.0	0.997
631.5	0.994
632.0	0.989
632.5	0.983
633.0	0.976
633.5	0.967
634.0	0.957
634.5	0.945
635.0	0.933
635.5	0.919
636.0	0.904
636.5	0.888
637.0	0.871
637.5	0.853
638.0	0.834
638.5	0.814
639.0	0.794
639.5	0.773
640.0	0.752
640.5	0.730
641.0	0.708
641.5	0.686
642.0	0.664
642.5	0.641
643.0	0.619
643.5	0.597
644.0	0.574
644.5	0.552
645.0	0.531
645.5	0.509
646.0	0.488
646.5	0.467
647.0	0.447
647.5	0.427
648.0	0.408
648.5	0.389
649.0	0.371
649.5	0.353
650.0	0.336
650.5	0.320
651.0	0.304
651.5	0.289
652.0	0.274
652.5	0.260
653.0	0.247
653.5	0.234
654.0	0.221
654.5	0.210
655.0	0.199
655.5	0.188
656.0	0.178
656.5	0.168
657.0	0.159
657.5	0.151
658.0	0.142
658.5	0.134
659.0	0.127
659.5	0.120
660.0	0.113
660.5	0.107
661.0	0.101
661.5	0.095
662.0	0.090
662.5	0.085
663.0	0.080
663.5	0.075
664.0	0.071
664.5	0.067
665.0	0.063
665.5	0.059
666.0	0.056
666.5	0.053
667.0	0.050
667.5	0.047
668.0	0.044
668.5	0.041
669.0	0.039
669.5	0.036
670.0	0.034
670.5	0.032
671.0	0.031
671.5	0.029
672.0	0.027
672.5	0.025
673.0	0.024
673.5	0.023
674.0	0.021
674.5	0.020
675.0	0.019
675.5	0.018
676.0	0.017
676.5	0.016
677.0	0.015
677.5	0.014
678.0	0.013
678.5	0.012
679.0	0.012
679.5	0.011
680.0	0.011
680.5	0.010
681.0	0.010
681.5	0.009
682.0	0.009
682.5	0.008
683.0	0.008
683.5	0.008
684.0	0.007
684.5	0.007
685.0	0.006
685.5	0.006
686.0	0.006
686.5	0.005
687.0	0.005
687.5	0.005
688.0	0.005
688.5	0.005
689.0	0.004
689.5	0.004
690.0	0.004
690.5	0.004
691.0	0.004
691.5	0.003
692.0	0.003
692.5	0.003
693.0	0.003
693.5	0.003
694.0	0.003
694.5	0.002
695.0	0.003
695.5	0.003
696.0	0.003
696.5	0.003
697.0	0.003
697.5	0.003
698.0	0.003
698.5	0.003
699.0	0.003
699.5	0.003
700.0	0.003
700.5	0.003
701.0	0.003
701.5	0.003
702.0	0.003
702.5	0.002
703.0	0.002
703.5	0.002
704.0	0.001
704.5	0.001
705.0	0.001
705.5	0.001
706.0	0.001
706.5	0.000
707.0	0.000
707.5	0.000
708.0	0.000
708.5	0.000
