wavelength	fluorescence
nm	a.u.
590.0	0.000
590.5	0.000
591.0	0.000
591.5	0.000
592.0	0.000
592.5	0.000
593.0	0.000
593.5	0.000
594.0	0.000
594.5	0.000
595.0	0.000
595.5	0.000
596.0	0.000
596.5	0.000
597.0	0.000
597.5	0.000
598.0	0.000
598.5	0.000
599.0	0.000
599.5	0.000
600.0	0.001
600.5	0.001
601.0	0.001
601.5	0.001
602.0	0.001
602.5	0.001
603.0	0.001
603.5	0.001
604.0	0.001
604.5	0.001
605.0	0.001
605.5	0.001
606.0	0.001
606.5	0.001
607.0	0.001
607.5	0.001
608.0	0.001
608.5	0.002
609.0	0.002
609.5	0.002
610.0	0.002
610.5	0.002
611.0	0.002
611.5	0.002
612.0	0.002
612.5	0.003
613.0	0.003
613.5	0.003
614.0	0.003
614.5	0.004
615.0	0.004
615.5	0.004
616.0	0.004
616.5	0.005
617.0	0.005
617.5	0.006
618.0	0.006
618.5	0.006
619.0	0.007
619.5	0.008
620.0	0.008
620.5	0.009
621.0	0.010
621.5	0.011
622.0	0.011
622.5	0.012
623.0	0.014
623.5	0.015
624.0	0.016
624.5	0.017
625.0	0.019
625.5	0.021
626.0	0.022
626.5	0.024
627.0	0.026
627.5	0.029
628.0	0.031
628.5	0.034
629.0	0.037
629.5	0.040
630.0	0.043
630.5	0.047
631.0	0.051
631.5	0.055
632.0	0.060
632.5	0.065
633.0	0.071
633.5	0.077
634.0	0.083
634.5	0.090
635.0	0.098
635.5	0.105
636.0	0.114
636.5	0.123
637.0	0.133
637.5	0.143
638.0	0.154
638.5	0.166
639.0	0.179
639.5	0.192
640.0	0.205
640.5	0.220
641.0	0.235
641.5	0.251
642.0	0.268
642.5	0.286
643.0	0.305
643.5	0.325
644.0	0.345
644.5	0.367
645.0	0.389
645.5	0.412
646.0	0.435
646.5	0.459
647.0	0.483
647.5	0.507
648.0	0.532
648.5	0.556
649.0	0.580
649.5	0.604
650.0	0.627
650.5	0.650
651.0	0.672
651.5	0.695
652.0	0.717
652.5	0.738
653.0	0.759
653.5	0.779
654.0	0.799
654.5	0.818
655.0	0.836
655.5	0.854
656.0	0.871
656.5	0.887
657.0	0.903
657.5	0.917
658.0	0.930
658.5	0.941
659.0	0.952
659.5	0.962
660.0	0.970
660.5	0.977
661.0	0.984
661.5	0.989
662.0	0.993
662.5	0.997
663.0	0.999
663.5	1.000
664.0	1.000
664.5	0.999
665.0	0.998
665.5	0.996
666.0	0.993
666.5	0.989
667.0	0.984
667.5	0.978
668.0	0.972
668.5	0.965
669.0	0.957
669.5	0.948
670.0	0.939
670.5	0.930
671.0	0.920
671.5	0.910
672.0	0.899
672.5	0.888
673.0	0.877
673.5	0.865
674.0	0.853
674.5	0.841
675.0	0.829
675.5	0.816
676.0	0.803
676.5	0.791
677.0	0.779
677.5	0.766
678.0	0.753
678.5	0.741
679.0	0.728
679.5	0.715
680.0	0.702
680.5	0.690
681.0	0.677
681.5	0.664
682.0	0.651
682.5	0.639
683.0	0.626
683.5	0.614
684.0	0.601
684.5	0.589
685.0	0.578
685.5	0.566
686.0	0.554
686.5	0.543
687.0	0.531
687.5	0.520
688.0	0.509
688.5	0.499
689.0	0.488
689.5	0.477
690.0	0.467
690.5	0.456
691.0	0.447
691.5	0.437
692.0	0.427
692.5	0.418
693.0	0.409
693.5	0.400
694.0	0.392
694.5	0.384
695.0	0.376
695.5	0.368
696.0	0.361
696.5	0.354
697.0	0.347
697.5	0.340
698.0	0.334
698.5	0.327
699.0	0.321
699.5	0.315
700.0	0.309
700.5	0.304
701.0	0.298
701.5	0.293
702.0	0.288
702.5	0.283
703.0	0.279
703.5	0.275
704.0	0.271
704.5	0.266
705.0	0.262
705.5	0.258
706.0	0.254
706.5	0.251
707.0	0.247
707.5	0.244
708.0	0.241
708.5	0.238
709.0	0.235
709.5	0.233
710.0	0.230
710.5	0.228
711.0	0.226
711.5	0.223
712.0	0.222
712.5	0.220
713.0	0.218
713.5	0.216
714.0	0.214
714.5	0.212
715.0	0.211
715.5	0.209
716.0	0.208
716.5	0.206
717.0	0.205
717.5	0.204
718.0	0.203
718.5	0.202
719.0	0.201
719.5	0.200
720.0	0.198
720.5	0.198
721.0	0.197
721.5	0.196
722.0	0.195
722.5	0.194
723.0	0.193
723.5	0.192
724.0	0.191
724.5	0.190
725.0	0.189
725.5	0.188
726.0	0.187
726.5	0.186
727.0	0.184
727.5	0.184
728.0	0.183
728.5	0.181
729.0	0.180
729.5	0.179
730.0	0.178
730.5	0.176
731.0	0.175
731.5	0.174
732.0	0.172
732.5	0.171
733.0	0.170
733.5	0.168
734.0	0.167
734.5	0.165
735.0	0.164
735.5	0.162
736.0	0.161
736.5	0.159
737.0	0.157
737.5	0.156
738.0	0.154
738.5	0.152
