wavelength,mVenus ex,mVenus em
351,0.0197,
352,0.0214,
353,0.0223,
354,0.0222,
355,0.0202,
356,0.0191,
357,0.0191,
358,0.0191,
359,0.0191,
360,0.0191,
361,0.0191,
362,0.0191,
363,0.0191,
364,0.0191,
365,0.0189,
366,0.0171,
367,0.0155,
368,0.0155,
369,0.0155,
370,0.0155,
371,0.0155,
372,0.0155,
373,0.0155,
374,0.0155,
375,0.0155,
376,0.0155,
377,0.0155,
378,0.0155,
379,0.0155,
380,0.0155,
381,0.0155,
382,0.0155,
383,0.0155,
384,0.0155,
385,0.0155,
386,0.0155,
387,0.0155,
388,0.0155,
389,0.0155,
390,0.0155,
391,0.0155,
392,0.0155,
393,0.0155,
394,0.0155,
395,0.0155,
396,0.0155,
397,0.0155,
398,0.0155,
399,0.0155,
400,0.0155,
401,0.0155,
402,0.0155,
403,0.015,
404,0.0135,
405,0.0108,
406,0.0091,
407,0.0124,
408,0.0158,
409,0.0191,
410,0.0191,
411,0.0191,
412,0.0191,
413,0.0191,
414,0.0191,
415,0.0191,
416,0.0191,
417,0.0191,
418,0.0191,
419,0.0191,
420,0.0191,
421,0.0191,
422,0.0191,
423,0.0202,
424,0.0213,
425,0.0225,
426,0.0225,
427,0.0223,
428,0.0225,
429,0.023,
430,0.0238,
431,0.0246,
432,0.0254,
433,0.0262,
434,0.0268,
435,0.0274,
436,0.0281,
437,0.0287,
438,0.0293,
439,0.0303,
440,0.0317,
441,0.0335,
442,0.0353,
443,0.0366,
444,0.0389,
445,0.0413,
446,0.0433,
447,0.0458,
448,0.0485,
449,0.0514,
450,0.0544,
451,0.0577,
452,0.0606,
453,0.0632,
454,0.0664,
455,0.0697,
456,0.0727,
457,0.0762,
458,0.0799,
459,0.0842,
460,0.0887,
461,0.0933,
462,0.0981,
463,0.1033,
464,0.1095,
465,0.1154,
466,0.1211,
467,0.1291,
468,0.1374,
469,0.1467,
470,0.157,
471,0.1678,
472,0.1806,
473,0.1939,
474,0.2077,
475,0.2221,
476,0.2367,
477,0.2518,
478,0.2674,
479,0.2815,
480,0.295,
481,0.3079,
482,0.3184,
483,0.3278,
484,0.3352,
485,0.3414,0.003
486,0.3468,0.0031
487,0.351,0.0031
488,0.3547,0.0031
489,0.3584,0.0031
490,0.3626,0.0031
491,0.3678,0.0031
492,0.3736,0.0031
493,0.3802,0.0038
494,0.3897,0.0046
495,0.3995,0.0056
496,0.4103,0.0065
497,0.4237,0.0076
498,0.441,0.0097
499,0.4585,0.0117
500,0.4794,0.0138
501,0.5032,0.0173
502,0.5311,0.0214
503,0.5616,0.0262
504,0.5967,0.0334
505,0.6344,0.0418
506,0.6764,0.0526
507,0.7211,0.066
508,0.7673,0.0824
509,0.815,0.1026
510,0.8602,0.1247
511,0.9039,0.1536
512,0.9419,0.1879
513,0.9695,0.2308
514,0.9907,0.2756
515,1.0,0.3293
516,0.9916,0.3881
517,0.9714,0.4462
518,0.9396,0.5167
519,0.8912,0.584
520,0.8362,0.6511
521,0.7734,0.7212
522,0.6955,0.7846
523,0.6253,0.8472
524,0.5527,0.8931
525,0.4844,0.9343
526,0.4189,0.97
527,0.3588,0.9883
528,0.3052,0.9976
529,0.2571,1.0
530,0.2159,0.995
531,0.1788,0.9832
532,0.1461,0.9633
533,0.1218,0.94
534,0.0998,0.905
535,0.0813,0.8765
536,0.0667,0.8427
537,0.0546,0.8071
538,0.0443,0.7731
539,0.0363,0.7381
540,0.0303,0.7074
541,0.0251,0.6791
542,0.021,0.6472
543,0.0176,0.6206
544,0.0144,0.5936
545,0.012,0.5682
546,0.0101,0.5452
547,0.0086,0.5217
548,0.0084,0.502
549,0.0076,0.4834
550,0.0061,0.4668
551,0.0049,0.4516
552,0.0049,0.4378
553,0.0036,0.4244
554,0.0023,0.4135
555,0.0013,0.4032
556,0.0013,0.3933
557,0.0013,0.3851
558,0.0013,0.3776
559,0.0013,0.3713
560,0.0013,0.3635
561,0.0013,0.3555
562,0.0013,0.3486
563,0.0013,0.3417
564,0.0013,0.3348
565,0.0013,0.3268
566,0.0013,0.3188
567,0.0013,0.3108
568,0.0013,0.3025
569,0.0013,0.2942
570,0.0013,0.2866
571,0.0013,0.2784
572,0.0013,0.27
573,0.0013,0.2599
574,0.0013,0.2508
575,0.0013,0.2427
576,0.0013,0.2334
577,0.0013,0.2242
578,0.0013,0.2156
579,0.0013,0.2075
580,,0.1997
581,,0.1918
582,,0.1836
583,,0.175
584,,0.1676
585,,0.1606
586,,0.1541
587,,0.1477
588,,0.1414
589,,0.1354
590,,0.1301
591,,0.1252
592,,0.1206
593,,0.116
594,,0.1115
595,,0.107
596,,0.1027
597,,0.0988
598,,0.0953
599,,0.0921
600,,0.089
601,,0.0855
602,,0.0815
603,,0.0781
604,,0.0749
605,,0.0721
606,,0.0698
607,,0.0678
608,,0.0657
609,,0.0638
610,,0.0619
611,,0.0593
612,,0.0571
613,,0.0556
614,,0.0541
615,,0.0527
616,,0.0514
617,,0.0496
618,,0.0476
619,,0.0462
620,,0.0449
621,,0.0434
622,,0.042
623,,0.0409
624,,0.0406
625,,0.039
626,,0.0368
627,,0.0357
628,,0.0347
629,,0.0337
630,,0.0325
631,,0.0312
632,,0.0301
633,,0.0291
634,,0.0283
635,,0.0281
636,,0.0273
637,,0.026
638,,0.0247
639,,0.0235
640,,0.0226
641,,0.0216
642,,0.0209
643,,0.0209
644,,0.0206
645,,0.02
646,,0.0191
647,,0.0182
648,,0.0175
