wavelength	absorption
nm	
250.0	0.062
250.5	0.061
251.0	0.060
251.5	0.060
252.0	0.059
252.5	0.058
253.0	0.057
253.5	0.056
254.0	0.055
254.5	0.054
255.0	0.054
255.5	0.053
256.0	0.052
256.5	0.051
257.0	0.050
257.5	0.049
258.0	0.048
258.5	0.048
259.0	0.047
259.5	0.046
260.0	0.045
260.5	0.044
261.0	0.044
261.5	0.043
262.0	0.042
262.5	0.041
263.0	0.040
263.5	0.039
264.0	0.037
264.5	0.036
265.0	0.035
265.5	0.034
266.0	0.034
266.5	0.033
267.0	0.033
267.5	0.032
268.0	0.031
268.5	0.030
269.0	0.030
269.5	0.029
270.0	0.029
270.5	0.029
271.0	0.028
271.5	0.028
272.0	0.028
272.5	0.028
273.0	0.028
273.5	0.028
274.0	0.028
274.5	0.028
275.0	0.028
275.5	0.028
276.0	0.028
276.5	0.029
277.0	0.030
277.5	0.031
278.0	0.031
278.5	0.031
279.0	0.031
279.5	0.032
280.0	0.032
280.5	0.032
281.0	0.033
281.5	0.033
282.0	0.033
282.5	0.033
283.0	0.033
283.5	0.034
284.0	0.034
284.5	0.035
285.0	0.036
285.5	0.037
286.0	0.037
286.5	0.038
287.0	0.039
287.5	0.040
288.0	0.041
288.5	0.042
289.0	0.043
289.5	0.044
290.0	0.046
290.5	0.047
291.0	0.048
291.5	0.050
292.0	0.051
292.5	0.053
293.0	0.054
293.5	0.056
294.0	0.058
294.5	0.060
295.0	0.062
295.5	0.064
296.0	0.066
296.5	0.069
297.0	0.071
297.5	0.073
298.0	0.075
298.5	0.077
299.0	0.079
299.5	0.081
300.0	0.083
300.5	0.085
301.0	0.087
301.5	0.089
302.0	0.091
302.5	0.092
303.0	0.094
303.5	0.096
304.0	0.097
304.5	0.099
305.0	0.101
305.5	0.102
306.0	0.104
306.5	0.105
307.0	0.107
307.5	0.108
308.0	0.109
308.5	0.111
309.0	0.112
309.5	0.113
310.0	0.114
310.5	0.115
311.0	0.117
311.5	0.118
312.0	0.119
312.5	0.120
313.0	0.121
313.5	0.122
314.0	0.122
314.5	0.123
315.0	0.124
315.5	0.125
316.0	0.126
316.5	0.126
317.0	0.127
317.5	0.127
318.0	0.127
318.5	0.127
319.0	0.127
319.5	0.127
320.0	0.127
320.5	0.126
321.0	0.125
321.5	0.124
322.0	0.122
322.5	0.120
323.0	0.119
323.5	0.117
324.0	0.115
324.5	0.112
325.0	0.110
325.5	0.107
326.0	0.104
326.5	0.101
327.0	0.098
327.5	0.094
328.0	0.091
328.5	0.087
329.0	0.084
329.5	0.080
330.0	0.077
330.5	0.073
331.0	0.069
331.5	0.066
332.0	0.062
332.5	0.059
333.0	0.056
333.5	0.053
334.0	0.050
334.5	0.047
335.0	0.044
335.5	0.042
336.0	0.039
336.5	0.037
337.0	0.035
337.5	0.033
338.0	0.031
338.5	0.030
339.0	0.029
339.5	0.027
340.0	0.026
340.5	0.025
341.0	0.024
341.5	0.023
342.0	0.022
342.5	0.022
343.0	0.021
343.5	0.021
344.0	0.020
344.5	0.020
345.0	0.019
345.5	0.019
