Typical Measured Spectrum of Semrock BLP01-532R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
250.0	0.10484
250.2	0.10053
250.4	0.0987
250.6	0.09702
250.8	0.09537
251.0	0.09289
251.2	0.08978
251.4	0.08678
251.6	0.08396
251.8	0.08169
252.0	0.07947
252.2	0.07732
252.4	0.07556
252.6	0.07395
252.8	0.07237
253.0	0.07048
253.2	0.06801
253.4	0.06562
253.6	0.06332
253.8	0.01445
254.0	0.00303
254.2	0.00145
254.4	2.3521e-04
254.6	3.8822e-04
254.8	9.4362e-04
255.0	0.0018
255.2	0.0015
255.4	4.3107e-04
255.6	5.8466e-04
255.8	0.00131
256.0	0.0011
256.2	0.00104
256.4	0.00125
256.6	0.0012
256.8	0.00103
257.0	0.00111
257.2	0.00119
257.4	0.00115
257.6	7.521e-04
257.8	3.5269e-04
258.0	2.9988e-04
258.2	3.2747e-04
258.4	8.3663e-04
258.6	0.00152
258.8	0.00179
259.0	4.6327e-04
259.2	7.4265e-05
259.4	7.0537e-05
259.6	8.7636e-05
259.8	1.8556e-04
260.0	3.9289e-04
260.2	3.3598e-04
260.4	2.8731e-04
260.6	2.6571e-04
260.8	2.509e-04
261.0	2.3691e-04
261.2	2.237e-04
261.4	2.1123e-04
261.6	1.9946e-04
261.8	1.8834e-04
262.0	1.7784e-04
262.2	1.6792e-04
262.4	1.5856e-04
262.6	1.4972e-04
262.8	1.4138e-04
263.0	1.335e-04
263.2	1.2605e-04
263.4	1.1903e-04
263.6	1.1512e-04
263.8	1.1415e-04
264.0	1.1319e-04
264.2	1.1224e-04
264.4	1.113e-04
264.6	1.1036e-04
264.8	1.0944e-04
265.0	1.0852e-04
265.2	1.078e-04
265.4	1.071e-04
265.6	1.0639e-04
265.8	1.0569e-04
266.0	1.05e-04
266.2	1.0431e-04
266.4	1.0183e-04
266.6	9.9381e-05
266.8	9.699e-05
267.0	9.4656e-05
267.2	9.2378e-05
267.4	9.0155e-05
267.6	8.7985e-05
267.8	8.5868e-05
268.0	8.3802e-05
268.2	8.1785e-05
268.4	7.9817e-05
268.6	7.7897e-05
268.8	7.6022e-05
269.0	7.4193e-05
269.2	7.2407e-05
269.4	6.6249e-05
269.6	5.8761e-05
269.8	5.2119e-05
270.0	4.6227e-05
270.2	4.1002e-05
270.4	3.6367e-05
270.6	3.2257e-05
270.8	2.861e-05
271.0	2.5376e-05
271.2	2.2508e-05
271.4	1.9964e-05
271.6	1.7707e-05
271.8	1.5706e-05
272.0	1.393e-05
272.2	1.2356e-05
272.4	1.1652e-05
272.6	1.2145e-05
272.8	1.2659e-05
273.0	1.3194e-05
273.2	1.3752e-05
273.4	1.4334e-05
273.6	1.494e-05
273.8	1.5572e-05
274.0	1.623e-05
274.2	1.6917e-05
274.4	1.7632e-05
274.6	1.8378e-05
274.8	1.9156e-05
275.0	1.9966e-05
275.2	1.146e-05
275.4	6.5782e-06
275.6	5.0249e-06
275.8	5.1375e-06
276.0	5.2527e-06
276.2	5.3704e-06
276.4	5.4908e-06
276.6	5.6139e-06
276.8	5.7397e-06
277.0	5.8683e-06
277.2	5.9999e-06
277.4	6.1344e-06
277.6	6.2719e-06
277.8	6.4124e-06
278.0	6.5562e-06
278.2	6.7031e-06
278.4	6.8534e-06
278.6	6.9873e-06
278.8	7.0387e-06
279.0	7.0905e-06
279.2	7.1427e-06
279.4	7.1953e-06
279.6	7.2482e-06
279.8	7.3016e-06
280.0	7.3553e-06
280.2	7.4094e-06
280.4	7.464e-06
280.6	7.5189e-06
280.8	7.5742e-06
281.0	7.63e-06
281.2	7.6861e-06
281.4	7.7427e-06
281.6	7.7997e-06
281.8	7.2515e-06
282.0	6.6754e-06
282.2	6.1451e-06
282.4	5.6569e-06
282.6	5.2075e-06
282.8	4.7938e-06
283.0	4.4129e-06
283.2	4.0623e-06
283.4	3.7396e-06
283.6	3.4425e-06
283.8	3.169e-06
284.0	2.9172e-06
284.2	2.6855e-06
284.4	2.4721e-06
284.6	2.2757e-06
284.8	2.3333e-06
285.0	2.5744e-06
285.2	2.8404e-06
285.4	3.134e-06
285.6	3.4578e-06
285.8	3.8151e-06
286.0	4.2094e-06
286.2	4.6443e-06
286.4	5.1242e-06
286.6	5.6538e-06
286.8	6.238e-06
287.0	6.8826e-06
287.2	7.5938e-06
287.4	8.3785e-06
287.6	9.2443e-06
287.8	9.6708e-06
288.0	8.9613e-06
288.2	8.3039e-06
288.4	7.6947e-06
288.6	7.1302e-06
288.8	6.6071e-06
289.0	6.1224e-06
289.2	5.6733e-06
289.4	5.2571e-06
289.6	4.8714e-06
289.8	4.514e-06
290.0	4.1829e-06
290.2	3.876e-06
290.4	3.5917e-06
290.6	3.3282e-06
290.8	3.0859e-06
291.0	2.9504e-06
291.2	2.8207e-06
291.4	2.6968e-06
291.6	2.5783e-06
291.8	2.465e-06
292.0	2.3567e-06
292.2	2.2532e-06
292.4	2.1542e-06
292.6	2.0595e-06
292.8	1.969e-06
293.0	1.8825e-06
293.2	1.7998e-06
293.4	1.7207e-06
293.6	1.6451e-06
293.8	1.5728e-06
294.0	1.8572e-06
294.2	2.3619e-06
294.4	3.0037e-06
294.6	3.8199e-06
294.8	4.8579e-06
295.0	6.1779e-06
295.2	5.7207e-06
295.4	5.2972e-06
295.6	4.9051e-06
295.8	4.542e-06
296.0	4.2058e-06
296.2	3.8945e-06
296.4	3.6062e-06
296.6	3.3393e-06
296.8	3.0921e-06
297.0	2.8633e-06
297.2	2.7192e-06
297.4	2.9095e-06
297.6	3.1132e-06
297.8	3.331e-06
298.0	3.5642e-06
298.2	3.8136e-06
298.4	4.0805e-06
298.6	4.3661e-06
298.8	4.6716e-06
299.0	4.9986e-06
299.2	5.3484e-06
299.4	5.7227e-06
299.6	6.1232e-06
299.8	6.5517e-06
300.0	7.0103e-06
300.2	7.5009e-06
300.4	7.2634e-06
300.6	6.9472e-06
300.8	6.6448e-06
301.0	6.3555e-06
301.2	6.0789e-06
301.4	5.8143e-06
301.6	5.5611e-06
301.8	5.3191e-06
302.0	5.0875e-06
302.2	4.866e-06
302.4	4.6542e-06
302.6	4.4516e-06
302.8	4.2578e-06
303.0	4.0725e-06
303.2	3.8952e-06
303.4	4.0341e-06
303.6	4.3912e-06
303.8	4.7799e-06
304.0	5.203e-06
304.2	5.6636e-06
304.4	6.1649e-06
304.6	6.7106e-06
304.8	7.3047e-06
305.0	7.9513e-06
305.2	1.255e-05
305.4	1.2371e-05
305.6	1.2195e-05
305.8	1.2021e-05
306.0	1.185e-05
306.2	1.1681e-05
306.4	1.1515e-05
306.6	1.1351e-05
306.8	1.1189e-05
307.0	1.103e-05
307.2	1.0873e-05
307.4	1.0718e-05
307.6	1.0566e-05
307.8	1.0415e-05
308.0	1.0267e-05
308.2	1.0136e-05
308.4	1.0275e-05
308.6	1.0415e-05
308.8	1.0557e-05
309.0	1.0701e-05
309.2	1.0847e-05
309.4	1.0996e-05
309.6	1.1146e-05
309.8	1.1298e-05
310.0	1.1452e-05
310.2	1.1609e-05
310.4	1.1767e-05
310.6	1.1928e-05
310.8	1.2091e-05
311.0	1.2256e-05
311.2	1.2423e-05
311.4	1.2504e-05
311.6	1.2553e-05
311.8	1.2602e-05
312.0	1.2651e-05
312.2	1.27e-05
312.4	1.275e-05
312.6	1.28e-05
312.8	1.285e-05
313.0	1.29e-05
313.2	1.295e-05
313.4	1.3001e-05
313.6	1.3051e-05
313.8	1.3102e-05
314.0	1.3153e-05
314.2	1.3205e-05
314.4	1.3349e-05
314.6	1.3626e-05
314.8	1.3909e-05
315.0	1.4198e-05
315.2	1.4492e-05
315.4	1.4793e-05
315.6	1.51e-05
315.8	1.5413e-05
316.0	1.5733e-05
316.2	1.606e-05
316.4	1.6393e-05
316.6	1.6733e-05
316.8	1.708e-05
317.0	1.7435e-05
317.2	1.7797e-05
317.4	1.8178e-05
317.6	1.867e-05
317.8	1.9176e-05
318.0	1.9695e-05
318.2	2.0228e-05
318.4	2.0775e-05
318.6	2.1338e-05
318.8	2.1915e-05
319.0	2.2508e-05
319.2	2.3118e-05
319.4	2.3743e-05
319.6	2.4386e-05
319.8	2.5046e-05
320.0	2.5724e-05
320.2	2.642e-05
320.4	2.7136e-05
320.6	2.8099e-05
320.8	2.9154e-05
321.0	3.0249e-05
321.2	3.1385e-05
321.4	3.2563e-05
321.6	3.3786e-05
321.8	3.5055e-05
322.0	3.6371e-05
322.2	3.7737e-05
322.4	3.9154e-05
322.6	4.0625e-05
322.8	4.215e-05
323.0	4.3733e-05
323.2	4.5375e-05
323.4	4.7079e-05
323.6	4.7575e-05
323.8	4.6847e-05
324.0	4.6131e-05
324.2	4.5426e-05
324.4	4.4732e-05
324.6	4.4048e-05
324.8	4.3374e-05
325.0	4.2711e-05
325.2	4.2058e-05
325.4	4.1415e-05
325.6	4.0782e-05
325.8	4.0159e-05
326.0	3.9545e-05
326.2	3.894e-05
326.4	3.8345e-05
326.6	3.7319e-05
326.8	3.4752e-05
327.0	3.2362e-05
327.2	3.0137e-05
327.4	2.8064e-05
327.6	2.6134e-05
327.8	2.4337e-05
328.0	2.2663e-05
328.2	2.1104e-05
328.4	1.9653e-05
328.6	1.8302e-05
328.8	1.7043e-05
329.0	1.5871e-05
329.2	1.4779e-05
329.4	1.3763e-05
329.6	1.2816e-05
329.8	1.2239e-05
330.0	1.1713e-05
330.2	1.121e-05
330.4	1.0729e-05
330.6	1.0268e-05
330.8	9.8268e-06
331.0	9.4047e-06
331.2	9.0007e-06
331.4	8.6141e-06
331.6	8.2441e-06
331.8	7.89e-06
332.0	7.5511e-06
332.2	7.2267e-06
332.4	6.9163e-06
332.6	6.6192e-06
332.8	6.4462e-06
333.0	6.3408e-06
333.2	6.2372e-06
333.4	6.1352e-06
333.6	6.0349e-06
333.8	5.9363e-06
334.0	5.8392e-06
334.2	5.7438e-06
334.4	5.6499e-06
334.6	5.5575e-06
334.8	5.4667e-06
335.0	5.3773e-06
335.2	5.2894e-06
335.4	5.203e-06
335.6	5.1179e-06
335.8	5.0608e-06
336.0	5.0514e-06
336.2	5.042e-06
336.4	5.0326e-06
336.6	5.0232e-06
336.8	5.0138e-06
337.0	5.0045e-06
337.2	4.9951e-06
337.4	4.9858e-06
337.6	4.9765e-06
337.8	4.9672e-06
338.0	4.958e-06
338.2	4.9487e-06
338.4	4.9395e-06
338.6	4.9303e-06
338.8	4.9168e-06
339.0	4.8569e-06
339.2	4.7978e-06
339.4	4.7393e-06
339.6	4.6816e-06
339.8	4.6246e-06
340.0	4.5683e-06
340.2	4.5127e-06
340.4	4.4577e-06
340.6	4.4034e-06
340.8	4.3498e-06
341.0	4.2969e-06
341.2	4.2445e-06
341.4	4.1929e-06
341.6	4.1418e-06
341.8	4.0914e-06
342.0	4.0206e-06
342.2	3.9464e-06
342.4	3.8736e-06
342.6	3.8021e-06
342.8	3.7319e-06
343.0	3.663e-06
343.2	3.5954e-06
343.4	3.5291e-06
343.6	3.464e-06
343.8	3.4e-06
344.0	3.3373e-06
344.2	3.2757e-06
344.4	3.2152e-06
344.6	3.1559e-06
344.8	3.0977e-06
345.0	3.0716e-06
345.2	3.0709e-06
345.4	3.0701e-06
345.6	3.0693e-06
345.8	3.0685e-06
346.0	3.0677e-06
346.2	3.0669e-06
346.4	3.0661e-06
346.6	3.0653e-06
346.8	3.0645e-06
347.0	3.0637e-06
347.2	3.0629e-06
347.4	3.0621e-06
347.6	3.0614e-06
347.8	3.0606e-06
348.0	3.0537e-06
348.2	3.0323e-06
348.4	3.0111e-06
348.6	2.99e-06
348.8	2.9691e-06
349.0	2.9483e-06
349.2	2.9277e-06
349.4	2.9072e-06
349.6	2.8869e-06
349.8	2.8667e-06
350.0	2.8466e-06
350.2	2.8267e-06
350.4	2.807e-06
350.6	2.7873e-06
350.8	2.7678e-06
351.0	2.7493e-06
351.2	2.7487e-06
351.4	2.7481e-06
351.6	2.7475e-06
351.8	2.747e-06
352.0	2.7464e-06
352.2	2.7458e-06
352.4	2.7452e-06
352.6	2.7446e-06
352.8	2.744e-06
353.0	2.7434e-06
353.2	2.7429e-06
353.4	2.7423e-06
353.6	2.7417e-06
353.8	2.7411e-06
354.0	2.7405e-06
354.2	2.736e-06
354.4	2.7304e-06
354.6	2.7248e-06
354.8	2.7193e-06
355.0	2.7138e-06
355.2	2.7082e-06
355.4	2.7027e-06
355.6	2.6972e-06
355.8	2.6917e-06
356.0	2.6863e-06
356.2	2.6808e-06
356.4	2.6753e-06
356.6	2.6699e-06
356.8	2.6644e-06
357.0	2.659e-06
357.2	2.6624e-06
357.4	2.6728e-06
357.6	2.6832e-06
357.8	2.6937e-06
358.0	2.7043e-06
358.2	2.7148e-06
358.4	2.7254e-06
358.6	2.7361e-06
358.8	2.7468e-06
359.0	2.7575e-06
359.2	2.7683e-06
359.4	2.7791e-06
359.6	2.79e-06
359.8	2.8009e-06
360.0	2.8119e-06
360.2	2.8291e-06
360.4	2.86e-06
360.6	2.8912e-06
360.8	2.9227e-06
361.0	2.9545e-06
361.2	2.9868e-06
361.4	3.0193e-06
361.6	3.0522e-06
361.8	3.0855e-06
362.0	3.1192e-06
362.2	3.1532e-06
362.4	3.1875e-06
362.6	3.2223e-06
362.8	3.2574e-06
363.0	3.2929e-06
363.2	3.4068e-06
363.4	4.4541e-06
363.6	5.8233e-06
363.8	7.6135e-06
364.0	9.9539e-06
364.2	1.3014e-05
364.4	1.7014e-05
364.6	2.2245e-05
364.8	2.9083e-05
365.0	3.8024e-05
365.2	4.0249e-05
365.4	4.2604e-05
365.6	4.5097e-05
365.8	4.7735e-05
366.0	5.0529e-05
366.2	4.9169e-05
366.4	4.6788e-05
366.6	4.4522e-05
366.8	4.2366e-05
367.0	4.0315e-05
367.2	3.8363e-05
367.4	3.6505e-05
367.6	3.4737e-05
367.8	3.3055e-05
368.0	3.1454e-05
368.2	2.9931e-05
368.4	2.8481e-05
368.6	2.7102e-05
368.8	2.579e-05
369.0	2.4541e-05
369.2	2.3715e-05
369.4	2.3273e-05
369.6	2.2838e-05
369.8	2.2412e-05
370.0	2.1994e-05
370.2	2.1584e-05
370.4	2.1181e-05
370.6	2.0786e-05
370.8	2.0398e-05
371.0	2.0018e-05
371.2	1.9644e-05
371.4	1.9278e-05
371.6	1.8918e-05
371.8	1.8565e-05
372.0	1.8219e-05
372.2	1.789e-05
372.4	1.7604e-05
372.6	1.7323e-05
372.8	1.7047e-05
373.0	1.6775e-05
373.2	1.6507e-05
373.4	1.6243e-05
373.6	1.5984e-05
373.8	1.5729e-05
374.0	1.5477e-05
374.2	1.523e-05
374.4	1.4987e-05
374.6	1.4748e-05
374.8	1.4512e-05
375.0	1.4281e-05
375.2	1.4053e-05
375.4	1.3874e-05
375.6	1.37e-05
