wavelength	absorption
nm	
250.0	0.230
250.5	0.231
251.0	0.232
251.5	0.233
252.0	0.233
252.5	0.234
253.0	0.235
253.5	0.235
254.0	0.236
254.5	0.237
255.0	0.237
255.5	0.238
256.0	0.238
256.5	0.240
257.0	0.241
257.5	0.242
258.0	0.244
258.5	0.245
259.0	0.245
259.5	0.245
260.0	0.245
260.5	0.243
261.0	0.241
261.5	0.239
262.0	0.235
262.5	0.231
263.0	0.226
263.5	0.220
264.0	0.214
264.5	0.207
265.0	0.200
265.5	0.192
266.0	0.184
266.5	0.176
267.0	0.168
267.5	0.160
268.0	0.152
268.5	0.145
269.0	0.139
269.5	0.132
270.0	0.127
270.5	0.121
271.0	0.116
271.5	0.112
272.0	0.107
272.5	0.103
273.0	0.100
273.5	0.097
274.0	0.094
274.5	0.092
275.0	0.090
275.5	0.088
276.0	0.086
276.5	0.084
277.0	0.083
277.5	0.081
278.0	0.080
278.5	0.079
279.0	0.079
279.5	0.078
280.0	0.078
280.5	0.078
281.0	0.078
281.5	0.078
282.0	0.078
282.5	0.078
283.0	0.079
283.5	0.079
284.0	0.079
284.5	0.080
285.0	0.081
285.5	0.081
286.0	0.082
286.5	0.083
287.0	0.084
287.5	0.085
288.0	0.086
288.5	0.087
289.0	0.088
289.5	0.089
290.0	0.091
290.5	0.092
291.0	0.094
291.5	0.095
292.0	0.097
292.5	0.098
293.0	0.099
293.5	0.100
294.0	0.101
294.5	0.102
295.0	0.103
295.5	0.104
296.0	0.105
296.5	0.106
297.0	0.107
297.5	0.108
298.0	0.108
298.5	0.109
299.0	0.109
299.5	0.110
300.0	0.111
300.5	0.111
301.0	0.111
301.5	0.112
302.0	0.113
302.5	0.113
303.0	0.114
303.5	0.114
304.0	0.114
304.5	0.114
305.0	0.114
305.5	0.114
306.0	0.114
306.5	0.114
307.0	0.114
307.5	0.113
308.0	0.113
308.5	0.112
309.0	0.112
309.5	0.111
310.0	0.110
310.5	0.109
311.0	0.107
311.5	0.106
312.0	0.105
312.5	0.103
313.0	0.102
313.5	0.101
314.0	0.099
314.5	0.097
315.0	0.096
315.5	0.094
316.0	0.092
316.5	0.090
317.0	0.087
317.5	0.085
318.0	0.083
318.5	0.080
319.0	0.078
319.5	0.075
320.0	0.072
320.5	0.069
321.0	0.066
321.5	0.062
322.0	0.059
322.5	0.056
323.0	0.053
323.5	0.049
324.0	0.046
324.5	0.043
325.0	0.040
325.5	0.038
326.0	0.035
326.5	0.033
327.0	0.031
327.5	0.029
328.0	0.027
328.5	0.025
329.0	0.024
329.5	0.022
330.0	0.021
330.5	0.020
331.0	0.019
331.5	0.019
332.0	0.018
332.5	0.017
333.0	0.016
333.5	0.015
334.0	0.015
334.5	0.014
335.0	0.014
335.5	0.014
336.0	0.013
336.5	0.013
337.0	0.013
337.5	0.013
338.0	0.013
338.5	0.013
339.0	0.013
339.5	0.013
340.0	0.013
340.5	0.013
341.0	0.013
341.5	0.013
342.0	0.013
342.5	0.013
343.0	0.013
343.5	0.013
344.0	0.013
344.5	0.013
345.0	0.012
345.5	0.012
346.0	0.012
346.5	0.012
347.0	0.012
347.5	0.012
348.0	0.012
348.5	0.012
349.0	0.012
349.5	0.012
350.0	0.012
350.5	0.012
351.0	0.012
351.5	0.011
352.0	0.011
352.5	0.012
353.0	0.012
353.5	0.012
354.0	0.012
354.5	0.012
355.0	0.012
355.5	0.012
356.0	0.012
356.5	0.012
357.0	0.012
357.5	0.013
358.0	0.013
358.5	0.013
359.0	0.013
359.5	0.013
360.0	0.013
360.5	0.013
361.0	0.013
361.5	0.013
362.0	0.013
362.5	0.013
363.0	0.013
363.5	0.013
364.0	0.013
364.5	0.013
365.0	0.013
365.5	0.013
366.0	0.013
366.5	0.013
367.0	0.014
367.5	0.014
368.0	0.014
368.5	0.014
369.0	0.015
369.5	0.015
370.0	0.015
370.5	0.015
371.0	0.015
371.5	0.015
372.0	0.015
372.5	0.015
373.0	0.015
373.5	0.014
374.0	0.014
374.5	0.014
375.0	0.014
375.5	0.014
376.0	0.014
376.5	0.014
377.0	0.014
377.5	0.015
378.0	0.015
378.5	0.015
379.0	0.015
379.5	0.015
380.0	0.015
380.5	0.015
381.0	0.016
381.5	0.015
382.0	0.016
382.5	0.016
383.0	0.016
383.5	0.016
384.0	0.016
384.5	0.016
385.0	0.017
385.5	0.017
386.0	0.017
386.5	0.017
387.0	0.017
387.5	0.017
388.0	0.017
388.5	0.017
389.0	0.017
389.5	0.017
390.0	0.017
390.5	0.017
391.0	0.017
391.5	0.017
392.0	0.017
392.5	0.017
393.0	0.017
393.5	0.017
394.0	0.017
394.5	0.018
395.0	0.018
395.5	0.018
396.0	0.019
396.5	0.019
397.0	0.019
397.5	0.019
398.0	0.019
398.5	0.019
399.0	0.020
399.5	0.020
400.0	0.020
400.5	0.020
401.0	0.020
401.5	0.021
402.0	0.021
402.5	0.020
403.0	0.020
403.5	0.021
404.0	0.021
404.5	0.021
405.0	0.021
405.5	0.021
406.0	0.021
406.5	0.022
407.0	0.021
407.5	0.021
408.0	0.021
408.5	0.021
409.0	0.021
409.5	0.021
410.0	0.021
410.5	0.021
411.0	0.021
411.5	0.021
412.0	0.020
412.5	0.020
413.0	0.020
413.5	0.020
414.0	0.020
414.5	0.020
415.0	0.019
415.5	0.019
416.0	0.019
416.5	0.019
417.0	0.019
417.5	0.019
418.0	0.019
418.5	0.019
419.0	0.019
419.5	0.019
420.0	0.019
420.5	0.019
421.0	0.019
421.5	0.019
422.0	0.019
422.5	0.019
423.0	0.019
423.5	0.019
424.0	0.019
424.5	0.019
425.0	0.019
425.5	0.019
426.0	0.019
426.5	0.018
427.0	0.018
427.5	0.018
428.0	0.018
428.5	0.018
429.0	0.018
429.5	0.018
430.0	0.018
430.5	0.018
431.0	0.018
431.5	0.018
432.0	0.018
432.5	0.018
433.0	0.018
433.5	0.018
434.0	0.019
434.5	0.019
435.0	0.019
435.5	0.019
436.0	0.019
436.5	0.019
437.0	0.019
437.5	0.019
438.0	0.019
438.5	0.019
439.0	0.020
439.5	0.020
440.0	0.020
440.5	0.020
441.0	0.020
441.5	0.021
442.0	0.021
442.5	0.021
443.0	0.021
443.5	0.021
444.0	0.021
444.5	0.021
445.0	0.021
445.5	0.021
446.0	0.021
446.5	0.021
447.0	0.021
447.5	0.021
448.0	0.021
448.5	0.021
449.0	0.020
449.5	0.020
450.0	0.020
450.5	0.020
451.0	0.020
451.5	0.020
452.0	0.020
452.5	0.020
453.0	0.020
453.5	0.020
454.0	0.020
454.5	0.020
455.0	0.020
455.5	0.020
456.0	0.020
456.5	0.020
457.0	0.020
457.5	0.020
458.0	0.020
458.5	0.020
459.0	0.020
459.5	0.020
460.0	0.019
460.5	0.019
461.0	0.019
461.5	0.019
462.0	0.019
462.5	0.019
463.0	0.018
463.5	0.018
464.0	0.018
464.5	0.018
465.0	0.018
465.5	0.017
466.0	0.017
466.5	0.017
467.0	0.017
467.5	0.017
468.0	0.017
468.5	0.017
469.0	0.016
469.5	0.016
470.0	0.016
470.5	0.016
471.0	0.016
471.5	0.016
472.0	0.016
472.5	0.016
473.0	0.016
473.5	0.015
474.0	0.015
474.5	0.015
475.0	0.015
475.5	0.015
476.0	0.015
476.5	0.015
477.0	0.015
477.5	0.014
478.0	0.014
478.5	0.014
479.0	0.014
479.5	0.014
480.0	0.014
480.5	0.014
481.0	0.014
481.5	0.014
482.0	0.014
482.5	0.014
483.0	0.014
483.5	0.014
484.0	0.014
484.5	0.014
485.0	0.014
485.5	0.014
486.0	0.014
486.5	0.014
487.0	0.014
487.5	0.014
488.0	0.014
488.5	0.014
489.0	0.013
489.5	0.013
490.0	0.013
490.5	0.013
491.0	0.013
491.5	0.013
492.0	0.013
492.5	0.013
493.0	0.013
493.5	0.013
494.0	0.013
494.5	0.013
495.0	0.013
495.5	0.013
496.0	0.013
496.5	0.013
497.0	0.013
497.5	0.013
