Typical Measured Spectrum of Semrock FF695-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
440.0	0.00573
440.2	0.00558
440.4	0.00537
440.6	0.00506
440.8	0.0045
441.0	0.00408
441.2	0.00354
441.4	0.00307
441.6	0.00258
441.8	0.00216
442.0	0.00184
442.2	0.00167
442.4	0.0014
442.6	0.00128
442.8	0.00115
443.0	0.00108
443.2	0.00114
443.4	0.00108
443.6	0.00111
443.8	0.00113
444.0	0.00118
444.2	0.00131
444.4	0.00134
444.6	0.00144
444.8	0.00157
445.0	0.00162
445.2	0.00179
445.4	0.00192
445.6	0.00215
445.8	0.00232
446.0	0.00266
446.2	0.00295
446.4	0.00332
446.6	0.00373
446.8	0.00419
447.0	0.00463
447.2	0.00504
447.4	0.00546
447.6	0.0058
447.8	0.00596
448.0	0.00612
448.2	0.00619
448.4	0.00606
448.6	0.00601
448.8	0.00586
449.0	0.00563
449.2	0.00542
449.4	0.00513
449.6	0.00487
449.8	0.00459
450.0	0.00433
450.2	0.00398
450.4	0.00362
450.6	0.0033
450.8	0.00293
451.0	0.00258
451.2	0.00234
451.4	0.00204
451.6	0.00183
451.8	0.00159
452.0	0.00145
452.2	0.00127
452.4	0.00115
452.6	0.00109
452.8	0.00108
453.0	0.00101
453.2	0.00111
453.4	0.00109
453.6	0.00119
453.8	0.00127
454.0	0.0013
454.2	0.0013
454.4	0.00137
454.6	0.00143
454.8	0.00143
455.0	0.0014
455.2	0.00142
455.4	0.00136
455.6	0.00137
455.8	0.00139
456.0	0.0015
456.2	0.0017
456.4	0.00191
456.6	0.0022
456.8	0.00267
457.0	0.00313
457.2	0.00368
457.4	0.00426
457.6	0.00493
457.8	0.00555
458.0	0.0061
458.2	0.00655
458.4	0.00697
458.6	0.0072
458.8	0.0074
459.0	0.00739
459.2	0.00743
459.4	0.00736
459.6	0.00726
459.8	0.00719
460.0	0.00706
460.2	0.00702
460.4	0.00689
460.6	0.00665
460.8	0.00643
461.0	0.00619
461.2	0.00579
461.4	0.00546
461.6	0.00504
461.8	0.00464
462.0	0.00412
462.2	0.0037
462.4	0.00326
462.6	0.0029
462.8	0.00252
463.0	0.00227
463.2	0.00202
463.4	0.00182
463.6	0.00169
463.8	0.00156
464.0	0.00144
464.2	0.00141
464.4	0.00133
464.6	0.00132
464.8	0.00131
465.0	0.00131
465.2	0.00132
465.4	0.00138
465.6	0.00148
465.8	0.00167
466.0	0.00187
466.2	0.00215
466.4	0.00255
466.6	0.00297
466.8	0.00353
467.0	0.00404
467.2	0.00455
467.4	0.00495
467.6	0.00529
467.8	0.00556
468.0	0.00559
468.2	0.00551
468.4	0.00529
468.6	0.00488
468.8	0.0045
469.0	0.00395
469.2	0.00351
469.4	0.00306
469.6	0.00262
469.8	0.0023
470.0	0.00207
470.2	0.0019
470.4	0.00173
470.6	0.00173
470.8	0.00169
471.0	0.00175
471.2	0.00171
471.4	0.00173
471.6	0.00182
471.8	0.00196
472.0	0.00215
472.2	0.00232
472.4	0.00251
472.6	0.00265
472.8	0.00286
473.0	0.00305
473.2	0.00316
473.4	0.00327
473.6	0.00335
473.8	0.00334
474.0	0.00319
474.2	0.00314
474.4	0.00296
474.6	0.00282
474.8	0.00263
475.0	0.00246
475.2	0.00224
475.4	0.00214
475.6	0.00189
475.8	0.00182
476.0	0.00168
476.2	0.00168
476.4	0.00161
476.6	0.00156
476.8	0.00161
477.0	0.00159
477.2	0.00153
477.4	0.00154
477.6	0.0015
477.8	0.00146
478.0	0.00144
478.2	0.00137
478.4	0.00127
478.6	0.00119
478.8	0.00118
479.0	0.00106
479.2	9.9476e-04
479.4	8.8734e-04
479.6	7.8668e-04
479.8	7.4711e-04
480.0	6.861e-04
480.2	5.8146e-04
480.4	5.5091e-04
480.6	5.1192e-04
480.8	4.9454e-04
481.0	4.3561e-04
481.2	4.3345e-04
481.4	3.6082e-04
481.6	3.9185e-04
481.8	3.6667e-04
482.0	3.5065e-04
482.2	3.7444e-04
482.4	3.3342e-04
482.6	3.4704e-04
482.8	3.0304e-04
483.0	3.5044e-04
483.2	3.5464e-04
483.4	4.0937e-04
483.6	3.9491e-04
483.8	3.9295e-04
484.0	4.1171e-04
484.2	4.5595e-04
484.4	4.5768e-04
484.6	5.1117e-04
484.8	5.2098e-04
485.0	5.9322e-04
485.2	6.57e-04
485.4	7.0327e-04
485.6	7.9219e-04
485.8	8.7894e-04
486.0	9.6734e-04
486.2	0.001
486.4	0.00103
486.6	0.00113
486.8	0.00116
487.0	0.00117
487.2	0.00115
487.4	0.00113
487.6	0.00108
487.8	9.7191e-04
488.0	9.5658e-04
488.2	8.8199e-04
488.4	8.1042e-04
488.6	7.4285e-04
488.8	7.1502e-04
489.0	6.7535e-04
489.2	6.4839e-04
489.4	6.3269e-04
489.6	6.2455e-04
489.8	6.0369e-04
490.0	5.4226e-04
490.2	5.3004e-04
490.4	5.4801e-04
490.6	5.436e-04
490.8	5.8615e-04
491.0	6.374e-04
491.2	6.4822e-04
491.4	6.6249e-04
491.6	7.1002e-04
491.8	7.8995e-04
492.0	8.6059e-04
492.2	9.6848e-04
492.4	0.00108
492.6	0.00117
492.8	0.00132
493.0	0.00142
493.2	0.00158
493.4	0.00172
493.6	0.00189
493.8	0.00196
494.0	0.0021
494.2	0.00223
494.4	0.00225
494.6	0.0023
494.8	0.00228
495.0	0.00224
495.2	0.00217
495.4	0.00213
495.6	0.00204
495.8	0.00195
496.0	0.00187
496.2	0.00179
496.4	0.00177
496.6	0.00173
496.8	0.00168
497.0	0.00165
497.2	0.00167
497.4	0.00167
497.6	0.00168
497.8	0.00174
498.0	0.00176
498.2	0.0018
498.4	0.00186
498.6	0.00189
498.8	0.00197
499.0	0.002
499.2	0.00206
499.4	0.00206
499.6	0.00207
499.8	0.00209
500.0	0.00211
500.2	0.00206
500.4	0.002
500.6	0.00194
500.8	0.0019
501.0	0.00183
501.2	0.00175
501.4	0.0017
501.6	0.00155
501.8	0.00156
502.0	0.00149
502.2	0.00143
502.4	0.00138
502.6	0.00136
502.8	0.00128
503.0	0.00126
503.2	0.00125
503.4	0.00129
503.6	0.00129
503.8	0.00129
504.0	0.00132
504.2	0.00135
504.4	0.00142
504.6	0.00148
504.8	0.00159
505.0	0.00168
505.2	0.0018
505.4	0.00199
505.6	0.00212
505.8	0.00234
506.0	0.00259
506.2	0.00281
506.4	0.00316
506.6	0.00354
506.8	0.00397
507.0	0.00441
507.2	0.00493
507.4	0.00543
507.6	0.00594
507.8	0.00649
508.0	0.00707
508.2	0.00761
508.4	0.00804
508.6	0.00845
508.8	0.00876
509.0	0.00907
509.2	0.00927
509.4	0.00939
509.6	0.00944
509.8	0.00942
510.0	0.00938
510.2	0.0093
510.4	0.00913
510.6	0.00898
510.8	0.00873
511.0	0.00848
511.2	0.00821
511.4	0.00789
511.6	0.00763
511.8	0.00735
512.0	0.00702
512.2	0.00671
512.4	0.00644
512.6	0.00612
512.8	0.00579
513.0	0.00553
513.2	0.00517
513.4	0.00487
513.6	0.00463
513.8	0.00438
514.0	0.00417
514.2	0.00398
514.4	0.00379
514.6	0.0036
514.8	0.00345
515.0	0.00329
515.2	0.0032
515.4	0.0031
515.6	0.00305
515.8	0.00298
516.0	0.00294
516.2	0.00289
516.4	0.00292
516.6	0.00294
516.8	0.00298
517.0	0.00306
517.2	0.0031
517.4	0.00322
517.6	0.00333
517.8	0.00343
518.0	0.00355
518.2	0.00375
518.4	0.00395
518.6	0.00415
518.8	0.00431
519.0	0.00447
519.2	0.00467
519.4	0.00483
519.6	0.005
519.8	0.00517
520.0	0.00528
520.2	0.00541
520.4	0.00547
520.6	0.00553
520.8	0.00553
521.0	0.00555
521.2	0.00551
521.4	0.00554
521.6	0.00545
521.8	0.00539
522.0	0.00534
522.2	0.00529
522.4	0.0052
522.6	0.00519
522.8	0.00521
523.0	0.00521
523.2	0.00518
523.4	0.00522
523.6	0.00529
523.8	0.00538
524.0	0.00543
524.2	0.00554
524.4	0.00568
524.6	0.00576
524.8	0.00596
525.0	0.00609
525.2	0.00624
525.4	0.00636
525.6	0.00646
525.8	0.00655
526.0	0.00664
526.2	0.0067
526.4	0.00673
526.6	0.00674
526.8	0.00674
527.0	0.00668
527.2	0.0066
527.4	0.00654
527.6	0.00641
527.8	0.0063
528.0	0.00615
528.2	0.0061
528.4	0.00597
528.6	0.0059
528.8	0.00575
529.0	0.00563
529.2	0.00553
529.4	0.00548
529.6	0.00543
529.8	0.00537
530.0	0.00536
530.2	0.0053
530.4	0.00529
530.6	0.0053
530.8	0.00532
531.0	0.0053
531.2	0.00529
531.4	0.00525
531.6	0.00527
531.8	0.00514
532.0	0.00511
532.2	0.00499
532.4	0.00491
532.6	0.00475
532.8	0.00456
533.0	0.0044
533.2	0.00416
533.4	0.00393
533.6	0.00371
533.8	0.00347
534.0	0.00326
534.2	0.00305
534.4	0.00281
534.6	0.0026
534.8	0.00244
535.0	0.00229
535.2	0.00213
535.4	0.00198
535.6	0.00185
535.8	0.00174
536.0	0.00164
536.2	0.00158
536.4	0.0015
536.6	0.00144
536.8	0.00138
537.0	0.00135
537.2	0.00127
537.4	0.00123
537.6	0.00125
537.8	0.00121
538.0	0.00117
538.2	0.00115
538.4	0.00116
538.6	0.00116
538.8	0.00115
539.0	0.00115
539.2	0.00115
539.4	0.00116
539.6	0.00117
539.8	0.00117
540.0	0.00119
540.2	0.00124
540.4	0.00122
540.6	0.00126
540.8	0.00129
541.0	0.00131
541.2	0.00131
541.4	0.00134
541.6	0.00137
541.8	0.00141
542.0	0.00141
542.2	0.00145
542.4	0.00149
542.6	0.00152
542.8	0.00156
543.0	0.00158
543.2	0.00164
543.4	0.00165
543.6	0.00171
543.8	0.00174
544.0	0.00174
544.2	0.0018
544.4	0.00183
544.6	0.00184
544.8	0.00188
545.0	0.00194
545.2	0.002
545.4	0.00202
545.6	0.00207
545.8	0.00212
546.0	0.00218
546.2	0.00227
546.4	0.00234
546.6	0.00244
546.8	0.00252
547.0	0.0026
547.2	0.0027
547.4	0.00278
547.6	0.00294
547.8	0.00308
548.0	0.00322
548.2	0.00338
548.4	0.00356
548.6	0.00375
548.8	0.00395
549.0	0.00416
549.2	0.00437
549.4	0.00463
549.6	0.00485
549.8	0.00507
550.0	0.00533
550.2	0.00556
550.4	0.00582
550.6	0.00604
550.8	0.00621
551.0	0.00639
551.2	0.00657
551.4	0.00668
551.6	0.00681
551.8	0.00688
552.0	0.00694
552.2	0.00688
552.4	0.00682
552.6	0.00673
552.8	0.00665
553.0	0.00646
553.2	0.00629
553.4	0.00607
553.6	0.00586
553.8	0.00562
554.0	0.00534
554.2	0.0051
554.4	0.00483
554.6	0.0046
554.8	0.00435
555.0	0.00413
555.2	0.00388
555.4	0.00364
555.6	0.00343
555.8	0.00325
556.0	0.00303
556.2	0.00289
556.4	0.00272
556.6	0.00257
556.8	0.00246
557.0	0.00231
557.2	0.00222
557.4	0.00211
557.6	0.00202
557.8	0.00193
558.0	0.00185
558.2	0.00175
558.4	0.00168
558.6	0.00164
558.8	0.00162
559.0	0.00157
559.2	0.00153
559.4	0.00148
559.6	0.00144
559.8	0.00145
560.0	0.00143
560.2	0.00146
560.4	0.00142
560.6	0.00142
560.8	0.00142
561.0	0.00141
561.2	0.0014
561.4	0.00146
561.6	0.00146
561.8	0.00149
562.0	0.00151
562.2	0.00154
562.4	0.00156
562.6	0.00162
562.8	0.00166
563.0	0.00173
563.2	0.00178
563.4	0.00182
563.6	0.00186
563.8	0.00196
564.0	0.002
564.2	0.00207
564.4	0.00216
564.6	0.00222
564.8	0.00231
565.0	0.00237
565.2	0.00242
565.4	0.00246
565.6	0.00253
565.8	0.00258
566.0	0.00262
566.2	0.00266
566.4	0.00268
566.6	0.00268
566.8	0.00272
567.0	0.00273
567.2	0.00274
567.4	0.00271
567.6	0.00268
567.8	0.00269
568.0	0.00266
568.2	0.00263
568.4	0.00263
568.6	0.00257
568.8	0.00258
569.0	0.00254
569.2	0.00252
569.4	0.00248
569.6	0.00247
569.8	0.0025
570.0	0.00247
570.2	0.00248
570.4	0.00247
570.6	0.00249
570.8	0.00253
571.0	0.00255
571.2	0.0026
571.4	0.00263
571.6	0.00265
571.8	0.00274
572.0	0.00277
572.2	0.00288
572.4	0.00294
572.6	0.00303
572.8	0.00313
573.0	0.00325
573.2	0.00337
573.4	0.00349
573.6	0.00363
573.8	0.00378
574.0	0.00397
574.2	0.00412
574.4	0.00428
574.6	0.00449
574.8	0.00467
575.0	0.00486
575.2	0.00511
575.4	0.00533
575.6	0.0055
575.8	0.00578
576.0	0.00598
576.2	0.00619
576.4	0.0064
576.6	0.00658
576.8	0.00671
577.0	0.00685
577.2	0.00696
577.4	0.00707
577.6	0.00713
577.8	0.0072
578.0	0.00725
578.2	0.00715
578.4	0.00714
578.6	0.00704
578.8	0.00692
579.0	0.0068
579.2	0.00666
579.4	0.00652
579.6	0.00632
579.8	0.00615
580.0	0.00594
580.2	0.00575
580.4	0.00552
580.6	0.0053
580.8	0.0051
581.0	0.00492
581.2	0.00473
581.4	0.00453
581.6	0.00432
581.8	0.00415
582.0	0.00401
582.2	0.00381
582.4	0.00367
582.6	0.00355
582.8	0.00343
583.0	0.00327
583.2	0.0032
583.4	0.00312
583.6	0.00301
583.8	0.00292
584.0	0.00283
584.2	0.00279
584.4	0.00274
584.6	0.00268
584.8	0.00267
585.0	0.00264
585.2	0.00263
585.4	0.00259
585.6	0.00262
585.8	0.00262
586.0	0.00264
586.2	0.00266
586.4	0.00272
586.6	0.00276
586.8	0.00283
587.0	0.00287
587.2	0.003
587.4	0.00308
587.6	0.00317
587.8	0.00328
588.0	0.0034
588.2	0.00352
588.4	0.00367
588.6	0.00383
588.8	0.004
589.0	0.00419
589.2	0.00436
589.4	0.00456
589.6	0.00477
589.8	0.00498
590.0	0.00517
590.2	0.00542
590.4	0.0057
590.6	0.00596
590.8	0.00613
591.0	0.00631
591.2	0.00653
591.4	0.00665
591.6	0.00687
591.8	0.00693
592.0	0.00696
592.2	0.00699
592.4	0.00695
592.6	0.00683
592.8	0.00672
593.0	0.00658
593.2	0.00641
593.4	0.0062
593.6	0.00598
593.8	0.00574
594.0	0.00551
594.2	0.00529
594.4	0.00508
594.6	0.00485
594.8	0.0046
595.0	0.00444
595.2	0.00425
595.4	0.00408
595.6	0.00392
595.8	0.00377
596.0	0.00366
596.2	0.00356
596.4	0.00343
596.6	0.00335
596.8	0.00331
597.0	0.00328
597.2	0.0032
597.4	0.00319
597.6	0.00317
597.8	0.00315
598.0	0.00314
598.2	0.00314
598.4	0.00315
598.6	0.0032
598.8	0.00323
599.0	0.00325
599.2	0.0033
599.4	0.00338
599.6	0.00345
599.8	0.00354
600.0	0.00363
600.2	0.00369
